Date,ticker,source,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,adj_factor,adj_open,adj_close
2020-12-11,VVOS,yfinance,176.75,360.25,170.0,224.75,224.75,192752,0.0,0.0,1.0,176.75,224.75
2020-12-14,VVOS,yfinance,208.2749938964844,210.0,187.5,194.75,194.75,24340,0.0,0.0,1.0,208.2749938964844,194.75
2020-12-15,VVOS,yfinance,187.5,191.0,165.5,178.0,178.0,14520,0.0,0.0,1.0,187.5,178.0
2020-12-16,VVOS,yfinance,176.25,177.5,165.25,169.5,169.5,9868,0.0,0.0,1.0,176.25,169.5
2020-12-17,VVOS,yfinance,232.5,309.5,206.25,227.75,227.75,624468,0.0,0.0,1.0,232.5,227.75
2020-12-18,VVOS,yfinance,210.0,236.25,182.2749938964844,192.5,192.5,46636,0.0,0.0,1.0,210.0,192.5
2020-12-21,VVOS,yfinance,192.1499938964844,208.9750061035156,182.0,185.75,185.75,17844,0.0,0.0,1.0,192.1499938964844,185.75
2020-12-22,VVOS,yfinance,187.0,192.75,176.75,180.0,180.0,19496,0.0,0.0,1.0,187.0,180.0
2020-12-23,VVOS,yfinance,176.0,197.75,176.0,181.0,181.0,13696,0.0,0.0,1.0,176.0,181.0
2020-12-24,VVOS,yfinance,183.5,188.75,181.1999969482422,184.5,184.5,7000,0.0,0.0,1.0,183.5,184.5
2020-12-28,VVOS,yfinance,186.25,186.25,166.64999389648438,174.75,174.75,15456,0.0,0.0,1.0,186.25,174.75
2020-12-29,VVOS,yfinance,172.5,174.5,159.5,163.25,163.25,9852,0.0,0.0,1.0,172.5,163.25
2020-12-30,VVOS,yfinance,161.0,161.0,150.5,152.5,152.5,9508,0.0,0.0,1.0,161.0,152.5
2020-12-31,VVOS,yfinance,153.25,157.5,141.0,147.75,147.75,8664,0.0,0.0,1.0,153.25,147.75
2021-01-04,VVOS,yfinance,149.25,157.5,147.75,150.25,150.25,6204,0.0,0.0,1.0,149.25,150.25
2021-01-05,VVOS,yfinance,152.5,157.5,146.25,154.25,154.25,11832,0.0,0.0,1.0,152.5,154.25
2021-01-06,VVOS,yfinance,157.0,160.25,153.0,157.25,157.25,7108,0.0,0.0,1.0,157.0,157.25
2021-01-07,VVOS,yfinance,155.25,161.25,152.39999389648438,159.75,159.75,3932,0.0,0.0,1.0,155.25,159.75
2021-01-08,VVOS,yfinance,159.75,160.0,152.5,155.75,155.75,5008,0.0,0.0,1.0,159.75,155.75
2021-01-11,VVOS,yfinance,159.0,182.5,156.625,181.25,181.25,20448,0.0,0.0,1.0,159.0,181.25
2021-01-12,VVOS,yfinance,183.75,206.0,182.75,203.25,203.25,21268,0.0,0.0,1.0,183.75,203.25
2021-01-13,VVOS,yfinance,204.5,206.25,193.75,203.75,203.75,9032,0.0,0.0,1.0,204.5,203.75
2021-01-14,VVOS,yfinance,203.75,203.75,193.8500061035156,199.75,199.75,5712,0.0,0.0,1.0,203.75,199.75
2021-01-15,VVOS,yfinance,194.75,199.625,183.75,188.25,188.25,10540,0.0,0.0,1.0,194.75,188.25
2021-01-19,VVOS,yfinance,188.25,197.4499969482422,170.0,170.75,170.75,15540,0.0,0.0,1.0,188.25,170.75
2021-01-20,VVOS,yfinance,170.0,179.5,166.0,168.0,168.0,6860,0.0,0.0,1.0,170.0,168.0
2021-01-21,VVOS,yfinance,172.75,178.5,168.75,176.75,176.75,8668,0.0,0.0,1.0,172.75,176.75
2021-01-22,VVOS,yfinance,175.5,175.5,164.5,167.5,167.5,4832,0.0,0.0,1.0,175.5,167.5
2021-01-25,VVOS,yfinance,168.75,174.75,162.5,171.75,171.75,6800,0.0,0.0,1.0,168.75,171.75
2021-01-26,VVOS,yfinance,171.75,178.75,165.25,178.5,178.5,4912,0.0,0.0,1.0,171.75,178.5
2021-01-27,VVOS,yfinance,177.5,178.75,165.75,175.75,175.75,6148,0.0,0.0,1.0,177.5,175.75
2021-01-28,VVOS,yfinance,168.0,170.125,164.6999969482422,168.625,168.625,2172,0.0,0.0,1.0,168.0,168.625
2021-01-29,VVOS,yfinance,168.5,173.5,159.25,163.5,163.5,4396,0.0,0.0,1.0,168.5,163.5
2021-02-01,VVOS,yfinance,164.75,177.5,164.5,175.25,175.25,3928,0.0,0.0,1.0,164.75,175.25
2021-02-02,VVOS,yfinance,175.5,183.25,167.5,168.5,168.5,4916,0.0,0.0,1.0,175.5,168.5
2021-02-03,VVOS,yfinance,167.5,175.0,167.5,172.0,172.0,3040,0.0,0.0,1.0,167.5,172.0
2021-02-04,VVOS,yfinance,174.0,178.0,170.25,172.5,172.5,1960,0.0,0.0,1.0,174.0,172.5
2021-02-05,VVOS,yfinance,174.0,179.47500610351562,167.5,176.25,176.25,8948,0.0,0.0,1.0,174.0,176.25
2021-02-08,VVOS,yfinance,180.0,180.0,170.625,179.0,179.0,5820,0.0,0.0,1.0,180.0,179.0
2021-02-09,VVOS,yfinance,179.75,191.8000030517578,172.64999389648438,187.5,187.5,7156,0.0,0.0,1.0,179.75,187.5
2021-02-10,VVOS,yfinance,191.0,194.4499969482422,183.5,190.5,190.5,4748,0.0,0.0,1.0,191.0,190.5
2021-02-11,VVOS,yfinance,193.75,196.625,173.9499969482422,174.75,174.75,4804,0.0,0.0,1.0,193.75,174.75
2021-02-12,VVOS,yfinance,173.75,180.25,170.75,171.0,171.0,4816,0.0,0.0,1.0,173.75,171.0
2021-02-16,VVOS,yfinance,172.75,205.0,172.75,190.75,190.75,13944,0.0,0.0,1.0,172.75,190.75
2021-02-17,VVOS,yfinance,192.5,199.25,181.25,191.0,191.0,5212,0.0,0.0,1.0,192.5,191.0
2021-02-18,VVOS,yfinance,190.75,198.25,182.5,191.5,191.5,22376,0.0,0.0,1.0,190.75,191.5
2021-02-19,VVOS,yfinance,196.0,220.75,192.0,206.0,206.0,15720,0.0,0.0,1.0,196.0,206.0
2021-02-22,VVOS,yfinance,210.75,244.5,206.25,222.5,222.5,22716,0.0,0.0,1.0,210.75,222.5
2021-02-23,VVOS,yfinance,220.0,221.25,201.5,217.0,217.0,5980,0.0,0.0,1.0,220.0,217.0
2021-02-24,VVOS,yfinance,224.0,228.25,212.5,212.75,212.75,4192,0.0,0.0,1.0,224.0,212.75
2021-02-25,VVOS,yfinance,211.5,214.75,181.25,188.5,188.5,6440,0.0,0.0,1.0,211.5,188.5
2021-02-26,VVOS,yfinance,197.5,202.5,186.25,187.75,187.75,4456,0.0,0.0,1.0,197.5,187.75
2021-03-01,VVOS,yfinance,189.5,197.2250061035156,176.75,186.0,186.0,3848,0.0,0.0,1.0,189.5,186.0
2021-03-02,VVOS,yfinance,189.75,195.5,178.0,181.0,181.0,2120,0.0,0.0,1.0,189.75,181.0
2021-03-03,VVOS,yfinance,181.25,183.75,171.75,176.25,176.25,2388,0.0,0.0,1.0,181.25,176.25
2021-03-04,VVOS,yfinance,170.0,175.0,161.5,166.25,166.25,4052,0.0,0.0,1.0,170.0,166.25
2021-03-05,VVOS,yfinance,169.75,172.5,153.0,165.25,165.25,2788,0.0,0.0,1.0,169.75,165.25
2021-03-08,VVOS,yfinance,167.5,173.0,157.75,161.5,161.5,3756,0.0,0.0,1.0,167.5,161.5
2021-03-09,VVOS,yfinance,164.5,172.875,161.25,170.0,170.0,988,0.0,0.0,1.0,164.5,170.0
2021-03-10,VVOS,yfinance,174.75,174.75,167.5,167.5,167.5,1088,0.0,0.0,1.0,174.75,167.5
2021-03-11,VVOS,yfinance,171.75,184.25,168.0,174.25,174.25,1348,0.0,0.0,1.0,171.75,174.25
2021-03-12,VVOS,yfinance,174.25,187.4750061035156,170.0,186.0,186.0,5252,0.0,0.0,1.0,174.25,186.0
2021-03-15,VVOS,yfinance,182.5,208.5,180.75,184.5,184.5,12112,0.0,0.0,1.0,182.5,184.5
2021-03-16,VVOS,yfinance,186.25,198.5,173.0,183.75,183.75,9908,0.0,0.0,1.0,186.25,183.75
2021-03-17,VVOS,yfinance,182.5,190.0,181.875,186.0,186.0,2816,0.0,0.0,1.0,182.5,186.0
2021-03-18,VVOS,yfinance,186.0,190.5,179.0,179.5,179.5,2352,0.0,0.0,1.0,186.0,179.5
2021-03-19,VVOS,yfinance,187.25,193.5,173.75,173.75,173.75,7852,0.0,0.0,1.0,187.25,173.75
2021-03-22,VVOS,yfinance,176.0,188.5,175.75,177.5,177.5,3924,0.0,0.0,1.0,176.0,177.5
2021-03-23,VVOS,yfinance,177.5,185.0,174.25,175.0,175.0,4340,0.0,0.0,1.0,177.5,175.0
2021-03-24,VVOS,yfinance,175.0,179.25,170.0,173.25,173.25,2196,0.0,0.0,1.0,175.0,173.25
2021-03-25,VVOS,yfinance,181.75,181.75,168.75,171.0,171.0,5772,0.0,0.0,1.0,181.75,171.0
2021-03-26,VVOS,yfinance,187.5,187.5,171.25,172.75,172.75,2332,0.0,0.0,1.0,187.5,172.75
2021-03-29,VVOS,yfinance,171.0,181.9499969482422,170.5,178.0,178.0,2644,0.0,0.0,1.0,171.0,178.0
2021-03-30,VVOS,yfinance,178.75,178.75,168.75,169.25,169.25,3036,0.0,0.0,1.0,178.75,169.25
2021-03-31,VVOS,yfinance,169.0,176.75,163.75,166.0,166.0,5344,0.0,0.0,1.0,169.0,166.0
2021-04-01,VVOS,yfinance,172.0,197.25,172.0,183.75,183.75,12272,0.0,0.0,1.0,172.0,183.75
2021-04-05,VVOS,yfinance,211.75,252.5,204.25,233.75,233.75,96836,0.0,0.0,1.0,211.75,233.75
2021-04-06,VVOS,yfinance,230.5,242.25,212.5,241.75,241.75,10720,0.0,0.0,1.0,230.5,241.75
2021-04-07,VVOS,yfinance,236.25,242.75,230.25,230.25,230.25,5784,0.0,0.0,1.0,236.25,230.25
2021-04-08,VVOS,yfinance,233.5,236.25,224.5249938964844,229.25,229.25,5256,0.0,0.0,1.0,233.5,229.25
2021-04-09,VVOS,yfinance,229.5,243.75,225.0,238.75,238.75,8760,0.0,0.0,1.0,229.5,238.75
2021-04-12,VVOS,yfinance,252.75,271.5,225.3249969482422,228.75,228.75,13704,0.0,0.0,1.0,252.75,228.75
2021-04-13,VVOS,yfinance,228.75,242.5,200.0,216.25,216.25,9584,0.0,0.0,1.0,228.75,216.25
2021-04-14,VVOS,yfinance,214.25,237.5,214.25,222.5,222.5,5384,0.0,0.0,1.0,214.25,222.5
2021-04-15,VVOS,yfinance,224.75,226.75,214.5,222.5,222.5,2952,0.0,0.0,1.0,224.75,222.5
2021-04-16,VVOS,yfinance,223.5,229.25,207.5,209.25,209.25,4244,0.0,0.0,1.0,223.5,209.25
2021-04-19,VVOS,yfinance,209.0,215.0,197.5,198.5,198.5,2252,0.0,0.0,1.0,209.0,198.5
2021-04-20,VVOS,yfinance,196.5,206.5,188.625,191.75,191.75,3008,0.0,0.0,1.0,196.5,191.75
2021-04-21,VVOS,yfinance,190.25,200.0,190.25,200.0,200.0,1788,0.0,0.0,1.0,190.25,200.0
2021-04-22,VVOS,yfinance,200.25,206.0,190.25,191.5,191.5,3584,0.0,0.0,1.0,200.25,191.5
2021-04-23,VVOS,yfinance,191.75,199.75,189.0,191.25,191.25,1664,0.0,0.0,1.0,191.75,191.25
2021-04-26,VVOS,yfinance,191.25,200.0,189.3500061035156,199.5,199.5,828,0.0,0.0,1.0,191.25,199.5
2021-04-27,VVOS,yfinance,200.0,200.0,181.5,187.75,187.75,6284,0.0,0.0,1.0,200.0,187.75
2021-04-28,VVOS,yfinance,183.5,191.625,181.75,185.5,185.5,1408,0.0,0.0,1.0,183.5,185.5
2021-04-29,VVOS,yfinance,184.5,188.25,167.75,168.75,168.75,5600,0.0,0.0,1.0,184.5,168.75
2021-04-30,VVOS,yfinance,173.75,180.0,169.75,173.75,173.75,2076,0.0,0.0,1.0,173.75,173.75
2021-05-03,VVOS,yfinance,177.75,178.0500030517578,169.5,178.0,178.0,3524,0.0,0.0,1.0,177.75,178.0
2021-05-04,VVOS,yfinance,175.25,175.25,158.75,164.25,164.25,11036,0.0,0.0,1.0,175.25,164.25
2021-05-05,VVOS,yfinance,167.25,168.25,161.25,163.75,163.75,2924,0.0,0.0,1.0,167.25,163.75
2021-05-06,VVOS,yfinance,162.5,164.47500610351562,159.25,160.75,160.75,11852,0.0,0.0,1.0,162.5,160.75
2021-05-07,VVOS,yfinance,149.5,170.3249969482422,147.75,168.75,168.75,71760,0.0,0.0,1.0,149.5,168.75
2021-05-10,VVOS,yfinance,168.5,169.0,157.75,160.0,160.0,7336,0.0,0.0,1.0,168.5,160.0
2021-05-11,VVOS,yfinance,160.0,160.0,152.5,154.75,154.75,4076,0.0,0.0,1.0,160.0,154.75
2021-05-12,VVOS,yfinance,152.5,156.25,149.25,151.0,151.0,4992,0.0,0.0,1.0,152.5,151.0
2021-05-13,VVOS,yfinance,154.5,154.5,147.5,148.0,148.0,4184,0.0,0.0,1.0,154.5,148.0
2021-05-14,VVOS,yfinance,148.25,154.64999389648438,147.5,149.25,149.25,3128,0.0,0.0,1.0,148.25,149.25
2021-05-17,VVOS,yfinance,148.75,152.5,148.75,151.5,151.5,1668,0.0,0.0,1.0,148.75,151.5
2021-05-18,VVOS,yfinance,150.75,150.89999389648438,144.0,145.5,145.5,3912,0.0,0.0,1.0,150.75,145.5
2021-05-19,VVOS,yfinance,143.75,143.75,137.5,140.75,140.75,4420,0.0,0.0,1.0,143.75,140.75
2021-05-20,VVOS,yfinance,142.0,145.0,138.25,142.0,142.0,3940,0.0,0.0,1.0,142.0,142.0
2021-05-21,VVOS,yfinance,142.5,143.0,138.25,141.75,141.75,3300,0.0,0.0,1.0,142.5,141.75
2021-05-24,VVOS,yfinance,140.75,142.75,140.0,140.25,140.25,2464,0.0,0.0,1.0,140.75,140.25
2021-05-25,VVOS,yfinance,141.75,141.75,130.0,131.25,131.25,4644,0.0,0.0,1.0,141.75,131.25
2021-05-26,VVOS,yfinance,132.5,142.5,132.0,138.75,138.75,4048,0.0,0.0,1.0,132.5,138.75
2021-05-27,VVOS,yfinance,139.25,140.0,136.5,138.5,138.5,2628,0.0,0.0,1.0,139.25,138.5
2021-05-28,VVOS,yfinance,138.75,141.0,133.75,134.5,134.5,2352,0.0,0.0,1.0,138.75,134.5
