ticker,company_name,sector,source,first_date,last_date,days_tested,current_price,market_cap,avg_volume_60d,avg_dollar_volume_60d,overnight_mean,intraday_mean,overnight_median,intraday_median,overnight_std,intraday_std,overnight_win_rate,intraday_win_rate,overnight_edge,median_edge,cumulative_overnight,cumulative_intraday,cumulative_buy_hold,edge_after_cost_5bps,edge_after_cost_10bps,edge_after_cost_25bps,edge_after_cost_50bps,rolling_3m_pass_rate,rolling_6m_pass_rate,rolling_12m_pass_rate,top_10_overnight_gap_contribution,corporate_action_sensitive,sec_recent_risk_count_180d,sec_recent_risk_count_365d,overnight_theme_score,rating,notes
CAN,Canaan Inc.,Technology,yfinance,2019-11-21,2026-06-05,1642,0.3580000102519989,266965120,10107385.0,4735451.551159273,0.005954751188814533,-0.004886752801497292,0.002865326772472976,-0.010000240468791721,0.04112169161380849,0.06723274971993702,0.5182704019488429,0.4123020706455542,0.010841503990311824,0.012865567241264697,4456.452646084745,-0.9999910761185647,-0.9602222210831111,0.010341503990311824,0.009841503990311824,0.008341503990311824,0.005841503990311824,0.8620253164556962,0.9630850362557679,1.0,0.07602599134261007,False,0,2,90.0,A,"Strong statistical overnight theme, but still research-only; SEC evidence: checked"
LASE,Laser Photonics Corporation,Industrials,yfinance,2022-10-03,2026-06-05,922,3.0999999046325684,119561616,12001038.333333334,31208780.664904714,0.009206416786914222,-0.002922587091437586,0.0030804647341059477,-0.01011814937718164,0.08143242627975573,0.09162417849462852,0.5184381778741866,0.403470715835141,0.012129003878351807,0.013198614111287588,604.1420725748985,-0.9980144325760535,0.20155038616418097,0.011629003878351807,0.011129003878351806,0.009629003878351807,0.007129003878351807,0.7930232558139535,0.8130489335006273,0.9374068554396423,0.29288912336224376,False,14,15,80.0,A,"Strong statistical overnight theme, but still research-only; SEC evidence: checked"
VVOS,"Vivos Therapeutics, Inc.",Healthcare,yfinance,2020-12-14,2026-06-05,1375,0.8650000095367432,12011882,1361988.3333333333,1216729.0788633625,0.006966299089481804,-0.00553629653759104,0.0,-0.011764764455774013,0.08632046862247075,0.09359144697102383,0.47345454545454546,0.3869090909090909,0.012502595627072843,0.011764764455774013,563.9519486394892,-0.9999931875253238,-0.9961512791566774,0.012002595627072843,0.011502595627072842,0.010002595627072843,0.007502595627072843,0.7913175932977913,0.9144,0.9483985765124555,0.30162214642722485,False,9,14,70.0,B,Moderate overnight theme; SEC evidence: checked
LAES,SEALSQ Corp,Technology,yfinance,2023-05-24,2026-06-05,761,3.200000047683716,712876800,13882705.0,41656921.69455528,0.008170129274589242,-0.0043224837663373376,0.0,-0.014669912112735939,0.06843563242091777,0.0859899202192193,0.49014454664914586,0.38633377135348224,0.01249261304092658,0.014669912112735939,108.48702892389852,-0.9973084808592179,-0.7053135659839591,0.011992613040926579,0.01149261304092658,0.009992613040926579,0.007492613040926579,0.899856938483548,0.9858490566037735,1.0,0.2663095379367942,False,1,5,70.0,B,Moderate overnight theme; SEC evidence: checked
MVIS,"MicroVision, Inc.",Technology,yfinance,1996-08-28,2026-06-05,7490,0.3899999856948852,129495776,6060756.666666667,3636535.5516344807,0.004791630100524893,-0.003512409798714426,0.0,-0.006666660308837946,0.03180804731662007,0.05443110756259726,0.4991989319092123,0.40360480640854474,0.00830403989923932,0.006666660308837946,99617171025902.6,-0.9999999999999999,-0.9907142860548837,0.007804039899239319,0.007304039899239319,0.005804039899239319,0.0033040398992393192,0.8352180936995154,0.8848608282416837,0.9294101395220334,0.04771336393088259,False,9,11,66.6081,B,Moderate overnight theme; SEC evidence: checked
KULR,"KULR Technology Group, Inc.",Technology,yfinance,2018-07-20,2026-06-05,1980,3.809999942779541,176239792,2075980.0,7247302.946929534,0.004893155447572941,-0.0018731253067230393,0.0,0.0,0.04962561869788285,0.0729380950084999,0.38535353535353534,0.31414141414141417,0.00676628075429598,0.0,1434.0380648489045,-0.9998103584429419,-0.7278571469443198,0.006266280754295981,0.00576628075429598,0.004266280754295981,0.0017662807542959801,0.7262773722627737,0.7752021563342318,0.805668016194332,0.12545977000775646,False,3,6,53.5326,C,Weak or unstable theme; SEC evidence: checked
SMTK,"SmartKem, Inc.",Technology,yfinance,2024-06-03,2026-06-05,504,0.4090000092983246,8765067,5117871.666666667,1946668.3430975676,0.0022452744533077535,-0.0018985881409733375,0.0,-0.006172842799372691,0.06175930163938816,0.09927727334118762,0.44841269841269843,0.39087301587301587,0.004143862594281091,0.006172842799372691,0.38189718583790566,-0.9657124735742089,-0.9526181637228566,0.0036438625942810912,0.0031438625942810912,0.0016438625942810912,-0.0008561374057189089,0.6266968325791855,0.633245382585752,0.5335968379446641,0.2885438385114616,False,19,19,53.2877,C,Weak or unstable theme; SEC evidence: checked
CXAI,CXApp Inc.,Technology,yfinance,2021-02-05,2026-06-05,1339,0.2469999939203262,26922586,25667981.666666668,5751798.329345261,0.00372837843172244,-0.002268843699465746,0.0,0.0,0.0697038425205124,0.0794173905064059,0.3674383868558626,0.39955190440627336,0.005997222131188186,0.0,13.7093056588046,-0.9983807048381431,-0.9761812925124242,0.005497222131188187,0.004997222131188186,0.003497222131188186,0.000997222131188186,0.5677368833202819,0.7092257001647446,0.7003676470588235,0.41051042601826715,False,17,20,51.9944,C,Weak or unstable theme; SEC evidence: checked
BYND,"Beyond Meat, Inc.",Consumer Defensive,yfinance,2019-05-03,2026-06-05,1783,0.7089999914169312,365583904,57266435.0,49965115.42357465,0.0010370458118035978,-0.0011250067927963236,0.0,-0.004583522042511334,0.04562150416308826,0.05384320024321876,0.4823331463825014,0.44251261918115536,0.0021620526045999216,0.004583522042511334,-0.018186070627031703,-0.9890169924169613,-0.9892167301685638,0.0016620526045999216,0.0011620526045999216,-0.00033794739540007846,-0.0028379473954000785,0.5955839628123184,0.6417370325693607,0.6527415143603134,0.22329428116666183,False,6,8,39.3241,D,Fails key tests; SEC evidence: checked
DEVS,DevvStream Corp.,Industrials,yfinance,2024-11-11,2026-06-05,392,0.5799999833106995,7684492,20624206.666666668,8051303.546650198,0.004949046425040498,0.0001286028505958135,-0.004944985385540723,-0.01232078402243203,0.10385843368721293,0.18656997598419822,0.3494897959183674,0.4030612244897959,0.004820443574444684,0.0073757986368913064,0.31474378595983743,-0.9673221792827466,-0.9570370382732816,0.004320443574444685,0.0038204435744446843,0.0023204435744446843,-0.0001795564255553158,0.693939393939394,0.5318352059925093,0.2624113475177305,0.5254622457236182,False,11,12,24.6409,D,Fails key tests; SEC evidence: checked
