ticker,filing_date,form,accession_number,primary_document,matched_keyword,filing_url,risk_category
CXAI,2026-06-03,8-K,0001829126-26-006014,cxappinc_8k.htm,offering,https://www.sec.gov/Archives/edgar/data/1820875/000182912626006014/cxappinc_8k.htm,dilution
CXAI,2026-06-03,8-K,0001829126-26-006014,cxappinc_8k.htm,warrant,https://www.sec.gov/Archives/edgar/data/1820875/000182912626006014/cxappinc_8k.htm,warrants_convertibles
CXAI,2026-06-03,8-K,0001829126-26-006013,cxappinc_8k.htm,warrant,https://www.sec.gov/Archives/edgar/data/1820875/000182912626006013/cxappinc_8k.htm,warrants_convertibles
LASE,2026-06-03,DEF 14A,0001493152-26-027109,formdef14a.htm,offering,https://www.sec.gov/Archives/edgar/data/1807887/000149315226027109/formdef14a.htm,dilution
LASE,2026-06-03,DEF 14A,0001493152-26-027109,formdef14a.htm,registered direct,https://www.sec.gov/Archives/edgar/data/1807887/000149315226027109/formdef14a.htm,other
LASE,2026-06-03,DEF 14A,0001493152-26-027109,formdef14a.htm,warrant,https://www.sec.gov/Archives/edgar/data/1807887/000149315226027109/formdef14a.htm,warrants_convertibles
LASE,2026-06-03,DEF 14A,0001493152-26-027109,formdef14a.htm,compliance,https://www.sec.gov/Archives/edgar/data/1807887/000149315226027109/formdef14a.htm,delisting_compliance
NOTV,2026-06-03,8-K,0001104659-26-069950,tm2616729d1_8k.htm,warrant,https://www.sec.gov/Archives/edgar/data/720154/000110465926069950/tm2616729d1_8k.htm,warrants_convertibles
NOTV,2026-06-03,8-K,0001104659-26-069950,tm2616729d1_8k.htm,convertible note,https://www.sec.gov/Archives/edgar/data/720154/000110465926069950/tm2616729d1_8k.htm,warrants_convertibles
NOTV,2026-06-03,8-K,0001104659-26-069950,tm2616729d1_8k.htm,compliance,https://www.sec.gov/Archives/edgar/data/720154/000110465926069950/tm2616729d1_8k.htm,delisting_compliance
NOTV,2026-06-03,8-K,0001104659-26-069950,tm2616729d1_8k.htm,dilution,https://www.sec.gov/Archives/edgar/data/720154/000110465926069950/tm2616729d1_8k.htm,dilution
HIVE,2026-06-02,10-K,0001062993-26-002973,form10k.htm,offering,https://www.sec.gov/Archives/edgar/data/1720424/000106299326002973/form10k.htm,dilution
HIVE,2026-06-02,10-K,0001062993-26-002973,form10k.htm,at-the-market,https://www.sec.gov/Archives/edgar/data/1720424/000106299326002973/form10k.htm,dilution
HIVE,2026-06-02,10-K,0001062993-26-002973,form10k.htm,warrant,https://www.sec.gov/Archives/edgar/data/1720424/000106299326002973/form10k.htm,warrants_convertibles
HIVE,2026-06-02,10-K,0001062993-26-002973,form10k.htm,convertible note,https://www.sec.gov/Archives/edgar/data/1720424/000106299326002973/form10k.htm,warrants_convertibles
HIVE,2026-06-02,10-K,0001062993-26-002973,form10k.htm,going concern,https://www.sec.gov/Archives/edgar/data/1720424/000106299326002973/form10k.htm,going_concern
HIVE,2026-06-02,10-K,0001062993-26-002973,form10k.htm,compliance,https://www.sec.gov/Archives/edgar/data/1720424/000106299326002973/form10k.htm,delisting_compliance
HIVE,2026-06-02,10-K,0001062993-26-002973,form10k.htm,dilution,https://www.sec.gov/Archives/edgar/data/1720424/000106299326002973/form10k.htm,dilution
MVIS,2026-06-01,PRE 14A,0001493152-26-026664,formpre14a.htm,reverse split,https://www.sec.gov/Archives/edgar/data/65770/000149315226026664/formpre14a.htm,reverse_split
MVIS,2026-06-01,PRE 14A,0001493152-26-026664,formpre14a.htm,stock split,https://www.sec.gov/Archives/edgar/data/65770/000149315226026664/formpre14a.htm,reverse_split
MVIS,2026-06-01,PRE 14A,0001493152-26-026664,formpre14a.htm,offering,https://www.sec.gov/Archives/edgar/data/65770/000149315226026664/formpre14a.htm,dilution
MVIS,2026-06-01,PRE 14A,0001493152-26-026664,formpre14a.htm,warrant,https://www.sec.gov/Archives/edgar/data/65770/000149315226026664/formpre14a.htm,warrants_convertibles
MVIS,2026-06-01,PRE 14A,0001493152-26-026664,formpre14a.htm,convertible note,https://www.sec.gov/Archives/edgar/data/65770/000149315226026664/formpre14a.htm,warrants_convertibles
MVIS,2026-06-01,PRE 14A,0001493152-26-026664,formpre14a.htm,delisting,https://www.sec.gov/Archives/edgar/data/65770/000149315226026664/formpre14a.htm,delisting_compliance
MVIS,2026-06-01,PRE 14A,0001493152-26-026664,formpre14a.htm,compliance,https://www.sec.gov/Archives/edgar/data/65770/000149315226026664/formpre14a.htm,delisting_compliance
MVIS,2026-06-01,PRE 14A,0001493152-26-026664,formpre14a.htm,dilution,https://www.sec.gov/Archives/edgar/data/65770/000149315226026664/formpre14a.htm,dilution
MVIS,2026-06-01,8-K,0001493152-26-026656,form8-k.htm,stock split,https://www.sec.gov/Archives/edgar/data/65770/000149315226026656/form8-k.htm,reverse_split
NOTV,2026-06-01,8-K,0001628280-26-039281,notv-20260528.htm,convertible note,https://www.sec.gov/Archives/edgar/data/720154/000162828026039281/notv-20260528.htm,warrants_convertibles
CXAI,2026-05-28,8-K,0001829126-26-005752,cxappinc_8k.htm,offering,https://www.sec.gov/Archives/edgar/data/1820875/000182912626005752/cxappinc_8k.htm,dilution
CXAI,2026-05-28,8-K,0001829126-26-005752,cxappinc_8k.htm,warrant,https://www.sec.gov/Archives/edgar/data/1820875/000182912626005752/cxappinc_8k.htm,warrants_convertibles
