ticker,mode,source,company_name,sector,days_tested,first_date,last_date,overnight_mean,overnight_median,overnight_std,overnight_win_rate,overnight_skew,overnight_kurtosis,overnight_t_stat,overnight_p_value,intraday_mean,intraday_median,intraday_std,intraday_win_rate,intraday_skew,intraday_kurtosis,intraday_t_stat,intraday_p_value,overnight_edge,median_edge,cumulative_overnight,cumulative_intraday,cumulative_buy_hold,overnight_share_of_total_return,intraday_share_of_total_return,max_drawdown_overnight_curve,max_drawdown_intraday_curve,rolling_3m_edge_mean,rolling_3m_pass_rate,rolling_6m_edge_mean,rolling_6m_pass_rate,rolling_12m_edge_mean,rolling_12m_pass_rate,top_5_overnight_gap_contribution,top_10_overnight_gap_contribution,top_20_overnight_gap_contribution,edge_after_cost_5bps,edge_after_cost_10bps,edge_after_cost_25bps,edge_after_cost_50bps,market_cap,current_price,avg_volume_60d,avg_dollar_volume_60d,raw_rows,clean_rows,duplicate_dates_removed,invalid_rows_removed,missing_open_close_ratio,adjustment_available,corporate_action_sensitive,sec_status,sec_recent_risk_count_180d,sec_recent_risk_count_365d,cik,sec_forms_checked,overnight_theme_score,rating
BBAI,raw_ohlc,yfinance,"BigBear.ai Holdings, Inc.",Technology,1299,2021-04-06,2026-06-05,0.005982800740813571,0.0,0.09941760600564323,0.4795996920708237,27.918623519759503,920.1325447086275,2.168931385521102,0.030268965815619053,-0.002473588341904927,-0.0020876309236564916,0.06367723870365521,0.39799846035411857,0.9932794343561064,5.823576962665111,-1.400063644853456,0.1617332304222166,0.008456389082718499,0.0020876309236564916,138.9900890337982,-0.9969479020550154,-0.5727365369417325,-5.811190436766737,6.811190436766737,-0.46827542470887196,-0.997853961190047,-0.0017330898798660229,0.8067906224737268,-0.0019642471224159733,0.9224872231686542,0.0008371476042242978,0.9942748091603053,0.238573708733593,0.2862088087259313,0.34429410944786665,0.007956389082718498,0.007456389082718499,0.005956389082718498,0.0034563890827184985,2011587584,4.199999809265137,38826538.333333336,159581418.14975938,1300,1300,0,0,0.0,True,False,checked,8,19,1836981,19,66.9128,B
BBAI,split_adjusted_ohlc,yfinance,"BigBear.ai Holdings, Inc.",Technology,1299,2021-04-06,2026-06-05,0.005982800740813571,0.0,0.09941760600564323,0.4795996920708237,27.918623519759503,920.1325447086275,2.168931385521102,0.030268965815619053,-0.002473588341904927,-0.0020876309236564916,0.06367723870365521,0.39799846035411857,0.9932794343561064,5.823576962665111,-1.400063644853456,0.1617332304222166,0.008456389082718499,0.0020876309236564916,138.9900890337982,-0.9969479020550154,-0.5727365369417325,-5.811190436766737,6.811190436766737,-0.46827542470887196,-0.997853961190047,-0.0017330898798660229,0.8067906224737268,-0.0019642471224159733,0.9224872231686542,0.0008371476042242978,0.9942748091603053,0.238573708733593,0.2862088087259313,0.34429410944786665,0.007956389082718498,0.007456389082718499,0.005956389082718498,0.0034563890827184985,2011587584,4.199999809265137,38826538.333333336,159581418.14975938,1300,1300,0,0,0.0,True,False,checked,8,19,1836981,19,66.9128,B
BCDA,raw_ohlc,yfinance,"BioCardia, Inc.",Healthcare,7435,1996-11-14,2026-06-05,0.0015239514579584049,0.0,0.1020738963945352,0.2438466711499664,7.245258185487671,141.24474497770905,1.2873508588188232,0.19801210189927446,0.004987054708041524,0.0,0.09584090200765544,0.23779421654337593,8.27248694588412,189.04287866646078,4.486769163992948,7.339922623317015e-06,-0.0034631032500831195,0.0,-0.9999999986471291,20886.34801956225,-0.9999717421132678,1.9496627724303488,-0.9496627724303489,-0.9999999999728851,-0.9998686274796005,0.025093074890755067,0.48040146480401463,0.017912742056207496,0.49917920656634746,0.007792601366603737,0.49860801781737196,0.06606041288256918,0.10136792732570664,0.1628067721925669,-0.00396310325008312,-0.0044631032500831195,-0.00596310325008312,-0.00846310325008312,11715965,1.0299999713897705,2676513.3333333335,2767815.979857246,7436,7436,0,0,0.0,True,False,checked,4,5,925741,43,0.0,D
BCDA,split_adjusted_ohlc,yfinance,"BioCardia, Inc.",Healthcare,7435,1996-11-14,2026-06-05,0.0015239514579584049,0.0,0.1020738963945352,0.2438466711499664,7.245258185487671,141.24474497770905,1.2873508588188232,0.19801210189927446,0.004987054708041524,0.0,0.09584090200765544,0.23779421654337593,8.27248694588412,189.04287866646078,4.486769163992948,7.339922623317015e-06,-0.0034631032500831195,0.0,-0.9999999986471291,20886.34801956225,-0.9999717421132678,1.9496627724303488,-0.9496627724303489,-0.9999999999728851,-0.9998686274796005,0.025093074890755067,0.48040146480401463,0.017912742056207496,0.49917920656634746,0.007792601366603737,0.49860801781737196,0.06606041288256918,0.10136792732570664,0.1628067721925669,-0.00396310325008312,-0.0044631032500831195,-0.00596310325008312,-0.00846310325008312,11715965,1.0299999713897705,2676513.3333333335,2767815.979857246,7436,7436,0,0,0.0,True,False,checked,4,5,925741,43,0.0,D
BYND,raw_ohlc,yfinance,"Beyond Meat, Inc.",Consumer Defensive,1783,2019-05-03,2026-06-05,0.0010370458118035978,0.0,0.04562150416308826,0.4823331463825014,3.2154668448529606,98.91568043192099,0.9598514237399699,0.33726021013128393,-0.0011250067927963236,-0.004583522042511334,0.05384320024321876,0.44251261918115536,1.6784499629819487,19.01809683345586,-0.8822668295964317,0.3777515219320554,0.0021620526045999216,0.004583522042511334,-0.018186070627031703,-0.9890169924169613,-0.9892167301685638,0.0040517537702942745,0.9959482462297058,-0.9752990736805018,-0.9921331174129324,0.0012350607892544347,0.5955839628123184,0.0031200958576575277,0.6417370325693607,0.003646368969545104,0.6527415143603134,0.16215162318709544,0.22329428116666183,0.2983085301137542,0.0016620526045999216,0.0011620526045999216,-0.00033794739540007846,-0.0028379473954000785,365583904,0.7089999914169312,57266435.0,49965115.42357465,1784,1784,0,0,0.0,True,False,checked,6,8,1655210,35,39.3241,D
BYND,split_adjusted_ohlc,yfinance,"Beyond Meat, Inc.",Consumer Defensive,1783,2019-05-03,2026-06-05,0.0010370458118035978,0.0,0.04562150416308826,0.4823331463825014,3.2154668448529606,98.91568043192099,0.9598514237399699,0.33726021013128393,-0.0011250067927963236,-0.004583522042511334,0.05384320024321876,0.44251261918115536,1.6784499629819487,19.01809683345586,-0.8822668295964317,0.3777515219320554,0.0021620526045999216,0.004583522042511334,-0.018186070627031703,-0.9890169924169613,-0.9892167301685638,0.0040517537702942745,0.9959482462297058,-0.9752990736805018,-0.9921331174129324,0.0012350607892544347,0.5955839628123184,0.0031200958576575277,0.6417370325693607,0.003646368969545104,0.6527415143603134,0.16215162318709544,0.22329428116666183,0.2983085301137542,0.0016620526045999216,0.0011620526045999216,-0.00033794739540007846,-0.0028379473954000785,365583904,0.7089999914169312,57266435.0,49965115.42357465,1784,1784,0,0,0.0,True,False,checked,6,8,1655210,35,39.3241,D
CAN,raw_ohlc,yfinance,Canaan Inc.,Technology,1642,2019-11-21,2026-06-05,0.005954751188814533,0.002865326772472976,0.04112169161380849,0.5182704019488429,0.9802173466326618,8.843573178564217,5.867852984945321,5.329910206940337e-09,-0.004886752801497292,-0.010000240468791721,0.06723274971993702,0.4123020706455542,1.6481404725292446,16.281581307621902,-2.94527650784138,0.0032721008741445562,0.010841503990311824,0.012865567241264697,4456.452646084745,-0.9999910761185647,-0.9602222210831111,-2.6058214446849894,3.6058214446849894,-0.5582755849350716,-0.9999893116695283,0.005506403645501061,0.8620253164556962,0.010261578127168951,0.9630850362557679,0.013692792217009272,1.0,0.04504893319039855,0.07602599134261007,0.12782406751230654,0.010341503990311824,0.009841503990311824,0.008341503990311824,0.005841503990311824,266965120,0.3580000102519989,10107385.0,4735451.551159273,1643,1643,0,0,0.0,True,False,checked,0,2,1780652,2,90.0,A
CAN,split_adjusted_ohlc,yfinance,Canaan Inc.,Technology,1642,2019-11-21,2026-06-05,0.005954751188814533,0.002865326772472976,0.04112169161380849,0.5182704019488429,0.9802173466326618,8.843573178564217,5.867852984945321,5.329910206940337e-09,-0.004886752801497292,-0.010000240468791721,0.06723274971993702,0.4123020706455542,1.6481404725292446,16.281581307621902,-2.94527650784138,0.0032721008741445562,0.010841503990311824,0.012865567241264697,4456.452646084745,-0.9999910761185647,-0.9602222210831111,-2.6058214446849894,3.6058214446849894,-0.5582755849350716,-0.9999893116695283,0.005506403645501061,0.8620253164556962,0.010261578127168951,0.9630850362557679,0.013692792217009272,1.0,0.04504893319039855,0.07602599134261007,0.12782406751230654,0.010341503990311824,0.009841503990311824,0.008341503990311824,0.005841503990311824,266965120,0.3580000102519989,10107385.0,4735451.551159273,1643,1643,0,0,0.0,True,False,checked,0,2,1780652,2,90.0,A
CXAI,raw_ohlc,yfinance,CXApp Inc.,Technology,1339,2021-02-05,2026-06-05,0.00372837843172244,0.0,0.0697038425205124,0.3674383868558626,13.053931876574197,266.44787417713064,1.9572826916332269,0.05052190057809457,-0.002268843699465746,0.0,0.0794173905064059,0.39955190440627336,7.6348813274235825,132.77406996898085,-1.0453921966263118,0.2960305620230257,0.005997222131188186,0.0,13.7093056588046,-0.9983807048381431,-0.9761812925124242,-0.7193674195526899,1.71936741955269,-0.8104321621160251,-0.9992039840530833,0.010328373087680321,0.5677368833202819,0.02197818011714871,0.7092257001647446,0.016847483655814583,0.7003676470588235,0.30401169266189604,0.41051042601826715,0.4913394620092419,0.005497222131188187,0.004997222131188186,0.003497222131188186,0.000997222131188186,26922586,0.2469999939203262,25667981.666666668,5751798.329345261,1340,1340,0,0,0.0,True,False,checked,17,20,1820875,29,51.9944,C
CXAI,split_adjusted_ohlc,yfinance,CXApp Inc.,Technology,1339,2021-02-05,2026-06-05,0.00372837843172244,0.0,0.0697038425205124,0.3674383868558626,13.053931876574197,266.44787417713064,1.9572826916332269,0.05052190057809457,-0.002268843699465746,0.0,0.0794173905064059,0.39955190440627336,7.6348813274235825,132.77406996898085,-1.0453921966263118,0.2960305620230257,0.005997222131188186,0.0,13.7093056588046,-0.9983807048381431,-0.9761812925124242,-0.7193674195526899,1.71936741955269,-0.8104321621160251,-0.9992039840530833,0.010328373087680321,0.5677368833202819,0.02197818011714871,0.7092257001647446,0.016847483655814583,0.7003676470588235,0.30401169266189604,0.41051042601826715,0.4913394620092419,0.005497222131188187,0.004997222131188186,0.003497222131188186,0.000997222131188186,26922586,0.2469999939203262,25667981.666666668,5751798.329345261,1340,1340,0,0,0.0,True,False,checked,17,20,1820875,29,51.9944,C
