accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription
0001836981-26-000049,2026-05-05,2026-03-31,2026-05-05T20:36:45.000Z,34,10-Q,001-40031,26943963,,XBRL,11746123,1,1,1.0,bbai-20260331.htm,10-Q
0001836981-26-000047,2026-05-05,2026-05-05,2026-05-05T20:19:02.000Z,34,8-K,001-40031,26943538,"2.02,9.01",XBRL,424842,1,1,0.0,bbai-20260505.htm,8-K
0001836981-26-000028,2026-04-28,2026-06-09,2026-04-28T20:21:16.000Z,34,DEF 14A,001-40031,26908185,,XBRL,2397863,1,1,0.0,bbai-20260428.htm,DEF 14A
0001140361-26-016118,2026-04-22,2026-04-21,2026-04-22T20:15:40.000Z,34,8-K,001-40031,26883985,5.07,XBRL,199597,1,1,0.0,ef20071146_8k.htm,8-K
0001836981-26-000024,2026-04-15,2026-06-09,2026-04-15T21:15:53.000Z,34,PRE 14A,001-40031,26864926,,XBRL,2416060,1,1,0.0,bbai-20260415.htm,PRE 14A
0001836981-26-000018,2026-03-02,2025-12-31,2026-03-02T21:33:36.000Z,34,10-K,001-40031,26708308,,XBRL,19276822,1,1,,bbai-20251231.htm,10-K
0001836981-26-000016,2026-03-02,2026-03-02,2026-03-02T21:18:36.000Z,34,8-K,001-40031,26707913,"2.02,9.01",XBRL,502193,1,1,,bbai-20260302.htm,8-K
0001193125-26-000952,2026-01-02,2026-01-02,2026-01-02T21:20:35.000Z,34,8-K,001-40031,26502655,"7.01,8.01,9.01",XBRL,216906,1,1,,d26482d8k.htm,8-K
0001193125-25-303945,2025-12-01,2025-12-01,2025-12-01T21:30:40.000Z,34,8-K,001-40031,251540036,"5.03,5.07,9.01",XBRL,358800,1,1,,d75195d8k.htm,8-K
0001836981-25-000025,2025-11-10,2025-11-10,2025-11-10T21:16:02.000Z,34,8-K,001-40031,251466433,"1.01,2.02,3.02,9.01",XBRL,35412608,1,1,,bbai-20251110.htm,8-K
0001836981-25-000028,2025-11-10,2025-09-30,2025-11-10T21:29:11.000Z,34,10-Q,001-40031,251466670,,XBRL,15533852,1,1,,bbai-20250930.htm,10-Q
0001193125-25-241870,2025-10-17,2025-12-01,2025-10-17T10:02:25.000Z,34,DEF 14A,001-40031,251398840,,DEF 14A,199466,0,0,,d62721ddef14a.htm,DEF 14A
0001836981-25-000015,2025-10-14,2025-10-14,2025-10-14T20:52:48.000Z,34,8-K,001-40031,251392408,5.02,XBRL,736102,1,1,,bbai-20251014.htm,8-K
0001193125-25-230388,2025-10-03,2025-12-01,2025-10-03T21:01:53.000Z,34,PRE 14A,001-40031,251374830,,PRE 14A,157737,0,0,,d62721dpre14a.htm,PRE 14A
0001836981-25-000010,2025-08-15,2025-08-12,2025-08-15T20:41:44.000Z,34,8-K,001-40031,251225254,5.02,XBRL,200679,1,1,,bbai-20250812.htm,8-K
0001628280-25-039629,2025-08-11,2025-06-30,2025-08-11T20:58:44.000Z,34,10-Q,001-40031,251202773,,XBRL,13872991,1,1,,bbai-20250630.htm,10-Q
0001628280-25-039572,2025-08-11,2025-08-11,2025-08-11T20:15:49.000Z,34,8-K,001-40031,251202197,"2.02,9.01",XBRL,562471,1,1,,bbai-20250811.htm,8-K
0001836981-25-000007,2025-07-17,2025-07-14,2025-07-17T20:17:40.000Z,34,8-K,001-40031,251130840,5.02,XBRL,196430,1,1,,bbai-20250714.htm,8-K
0001628280-25-030042,2025-06-06,2025-06-06,2025-06-06T20:45:32.000Z,34,8-K,001-40031,251031385,"5.02,7.01,9.01",XBRL,1528015,1,1,,bbai-20250606.htm,8-K
