accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription
0001437749-26-019653,2026-06-05,2026-06-05,2026-06-05T12:00:10.000Z,34,8-K,001-38999,261066893,"7.01,9.01",XBRL,177957,1,1,0.0,bcda20260605d_8k.htm,FORM 8-K
0001437749-26-018670,2026-05-28,2026-05-28,2026-05-28T12:00:11.000Z,34,8-K,001-38999,261028597,"7.01,9.01",XBRL,180440,1,1,0.0,bcda20260528_8k.htm,FORM 8-K
0001437749-26-017994,2026-05-21,2026-05-21,2026-05-21T12:00:10.000Z,34,8-K,001-38999,261005913,"7.01,9.01",XBRL,178290,1,1,0.0,bcda20260520_8k.htm,FORM 8-K
0001437749-26-017222,2026-05-15,2026-05-15,2026-05-15T12:05:59.000Z,34,8-K,001-38999,26982414,"2.02,9.01",XBRL,260391,1,1,0.0,bcda20260515_8k.htm,FORM 8-K
0001437749-26-017221,2026-05-15,2026-03-31,2026-05-15T12:05:55.000Z,34,10-Q,001-38999,26982413,,XBRL,3529677,1,1,1.0,bcda20260331_10q.htm,FORM 10-Q
0001437749-26-015753,2026-05-08,2026-05-08,2026-05-08T12:00:09.000Z,34,8-K,001-38999,26956125,"7.01,9.01",XBRL,177314,1,1,0.0,bcda20260508_8k.htm,FORM 8-K
0001437749-26-013535,2026-04-28,2026-04-28,2026-04-28T12:00:08.000Z,34,8-K,001-38999,26903195,"8.01,9.01",XBRL,177751,1,1,0.0,bcda20260428_8k.htm,FORM 8-K
0001437749-26-012764,2026-04-20,2026-04-20,2026-04-20T12:00:09.000Z,34,8-K,001-38999,26873374,"7.01,9.01",XBRL,169462,1,1,0.0,bcda20260416_8k.htm,FORM 8-K
0001437749-26-012412,2026-04-15,2026-04-10,2026-04-15T20:30:15.000Z,34,8-K,001-38999,26864488,3.01,XBRL,160966,1,1,0.0,bcda20260414_8k.htm,FORM 8-K
0001437749-26-010967,2026-04-02,2026-04-02,2026-04-02T13:00:11.000Z,34,8-K,001-38999,26830839,"7.01,9.01",XBRL,175112,1,1,,bcda20260402_8k.htm,FORM 8-K
0001437749-26-009587,2026-03-24,2025-12-31,2026-03-24T20:05:25.000Z,34,10-K,001-38999,26786182,,XBRL,8153779,1,1,,bcda20251231_10k.htm,FORM 10-K
0001437749-26-009609,2026-03-24,2026-03-24,2026-03-24T20:31:26.000Z,34,8-K,001-38999,26786773,"2.02,9.01",XBRL,256475,1,1,,bcda20260324_8k.htm,FORM 8-K
0001437749-26-008499,2026-03-17,2026-03-17,2026-03-17T10:02:10.000Z,34,8-K,001-38999,26758889,"8.01,9.01",XBRL,171987,1,1,,bcda20260317_8k.htm,FORM 8-K
0001437749-26-006481,2026-03-03,2026-03-03,2026-03-03T13:01:30.000Z,34,8-K,001-38999,26711097,"7.01,9.01",XBRL,179947,1,1,,bcda20260303_8k.htm,FORM 8-K
0001437749-26-003582,2026-02-10,2026-02-10,2026-02-10T14:15:23.000Z,34,8-K,001-38999,26613766,"8.01,9.01",XBRL,179942,1,1,,bcda20260210c_8k.htm,FORM 8-K
0001437749-26-002723,2026-02-03,2026-02-03,2026-02-03T13:00:08.000Z,34,8-K,001-38999,26590184,"8.01,9.01",XBRL,168552,1,1,,bcda20260203_8k.htm,FORM 8-K
0001437749-25-037910,2025-12-16,2025-12-16,2025-12-16T13:00:11.000Z,34,8-K,001-38999,251573372,"7.01,9.01",XBRL,182300,1,1,,bcda20251216_8k.htm,FORM 8-K
0001437749-25-036711,2025-12-03,2025-12-02,2025-12-03T13:00:10.000Z,34,8-K,001-38999,251545019,"5.02,5.07,7.01,9.01",XBRL,206769,1,1,,bcda20251202_8k.htm,FORM 8-K
0001437749-25-036076,2025-11-24,2025-11-24,2025-11-24T13:00:43.000Z,34,8-K,001-38999,251509622,"8.01,9.01",XBRL,169749,1,1,,bcda20251121_8k.htm,FORM 8-K
0001437749-25-034442,2025-11-12,2025-11-12,2025-11-12T21:10:37.000Z,34,8-K,001-38999,251472788,"2.02,9.01",XBRL,286902,1,1,,bcda20251112_8k.htm,FORM 8-K
