accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription
0001655210-26-000042,2026-06-03,2026-05-28,2026-06-03T20:48:52.000Z,34,8-K,001-38879,261061613,5.02,XBRL,138040,1,1,0.0,bynd-20260528.htm,8-K RAY WALLANDER
0001655210-26-000039,2026-05-21,2026-05-20,2026-05-21T20:51:56.000Z,34,8-K,001-38879,261009467,5.07,XBRL,155676,1,1,0.0,bynd-20260520.htm,8-K 2026 ANNUAL MEETING RESULTS
0001655210-26-000037,2026-05-07,2026-03-28,2026-05-07T20:32:34.000Z,34,10-Q,001-38879,26954140,,XBRL,10521357,1,1,1.0,bynd-20260328.htm,10-Q BYND Q1 2026
0001655210-26-000033,2026-05-06,2026-05-06,2026-05-06T20:16:21.000Z,34,8-K,001-38879,26948678,"2.02,9.01",XBRL,1525974,1,1,0.0,bynd-20260506.htm,8-K BYND Q1 2026 EARNINGS
0001655210-26-000029,2026-04-24,2026-04-20,2026-04-24T20:24:58.000Z,34,8-K,001-38879,26894516,5.02,XBRL,139989,1,1,0.0,bynd-20260420.htm,8-K JONATHAN NELSON RESIGNATION
0001193125-26-150400,2026-04-10,2026-05-20,2026-04-10T12:28:40.000Z,34,DEF 14A,001-38879,26853243,,XBRL,6728757,1,1,0.0,d143614ddef14a.htm,DEF 14A
0001655210-26-000025,2026-04-09,2026-04-06,2026-04-09T12:20:11.000Z,34,8-K,001-38879,26849897,"3.01,7.01,8.01,9.01",XBRL,177410,1,1,0.0,bynd-20260406.htm,8-K NOTIFICATION OF NON-COMPLIANCE
0001655210-26-000022,2026-04-09,2025-12-31,2026-04-09T01:47:49.000Z,34,10-K,001-38879,26849680,,XBRL,17910452,1,1,1.0,bynd-20251231.htm,BYND 10-K 2025
0001655210-26-000018,2026-04-02,2026-03-28,2026-04-02T21:04:16.000Z,34,8-K,001-38879,26835137,"1.01,9.01",XBRL,753595,1,1,,bynd-20260328.htm,"8-K ROQUETTE AGREEMENT, BYND EMPLOYMENT INDUCEMENT PLAN"
0001655210-26-000016,2026-03-31,2026-03-31,2026-03-31T20:18:34.000Z,34,8-K,001-38879,26822177,2.02,XBRL,2022210,1,1,,bynd-20260331.htm,8-K Q4 AND FY 2025 RESULTS
0001655210-26-000014,2026-03-25,2026-03-25,2026-03-25T12:34:36.000Z,34,8-K,001-38879,26788490,"7.01,9.01",XBRL,1115165,1,1,,bynd-20260325.htm,8-K RESCHEDULE OF Q4 AND FY 2025 EARNINGS CALL
0001655210-26-000010,2026-03-16,2026-03-16,2026-03-16T20:15:25.000Z,34,8-K,001-38879,26756872,"2.02,7.01,9.01",XBRL,1124194,1,1,,bynd-20260316.htm,8-K BYND PRELIMINARY RESULTS Q4 AND FY 2025
0001655210-26-000006,2026-03-06,2026-03-04,2026-03-06T21:32:50.000Z,34,8-K,001-38879,26731544,3.01,XBRL,147923,1,1,,bynd-20260304.htm,8-K DEFICIENCY NOTICE
0001193125-26-010677,2026-01-12,2026-01-12,2026-01-12T22:29:31.000Z,34,8-K,001-38879,26527876,"1.01,2.03,9.01",XBRL,158760,1,1,,d56021d8k.htm,8-K
0001655210-26-000003,2026-01-05,2025-12-29,2026-01-05T21:53:37.000Z,34,8-K,001-38879,26507340,5.02,XBRL,149298,1,1,,bynd-20251229.htm,8-K APPOINTMENT OF PAO (TONY KALAJIAN)
0001193125-25-329436,2025-12-23,2025-12-22,2025-12-23T11:01:46.000Z,34,8-K,001-38879,251594583,"1.01,9.01",XBRL,192425,1,1,,d33057d8k.htm,8-K
0001655210-25-000220,2025-12-18,2025-12-18,2025-12-18T21:47:26.000Z,34,8-K,001-38879,251583707,5.02,XBRL,140576,1,1,,bynd-20251218.htm,8-K PAO
0001655210-25-000217,2025-11-26,2025-11-21,2025-11-26T21:37:16.000Z,34,8-K,001-38879,251530929,8.01,XBRL,150508,1,1,,bynd-20251121.htm,8-K SONATE AND BVEGGIE VERDICTS
