accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription
0001829126-26-006014,2026-06-03,2026-06-03,2026-06-03T20:35:18.000Z,34,8-K,001-39642,261061322,3.02,XBRL,242786,1,1,0.0,cxappinc_8k.htm,8-K
0001829126-26-006013,2026-06-03,2026-06-03,2026-06-03T20:30:39.000Z,34,8-K,001-39642,261061191,"1.01,2.01,7.01,9.01",XBRL,1281128,1,1,0.0,cxappinc_8k.htm,8-K
0001829126-26-005752,2026-05-28,2026-05-21,2026-05-28T21:15:27.000Z,34,8-K,001-39642,261037869,3.02,XBRL,242800,1,1,0.0,cxappinc_8k.htm,8-K
0001829126-26-005105,2026-05-13,2026-05-13,2026-05-13T20:34:11.000Z,34,8-K,001-39642,26973982,"2.02,7.01,9.01",XBRL,290138,1,1,0.0,cxapp_8k.htm,8-K
0001829126-26-005103,2026-05-13,2026-03-31,2026-05-13T20:31:24.000Z,34,10-Q,001-39642,26973933,,XBRL,6992517,1,1,1.0,cxappinc_10q.htm,10-Q
0001829126-26-004743,2026-05-07,2026-06-16,2026-05-07T20:06:20.000Z,34,DEF 14A,001-39642,26953138,,XBRL,4355342,1,1,0.0,cxappinc_def14a.htm,DEF 14A
0001829126-26-003985,2026-04-27,2026-04-27,2026-04-27T20:31:08.000Z,34,PRE 14A,001-39642,26901483,,PRE 14A,2190590,0,0,0.0,cxappinc_pre14a.htm,PRE 14A
0001829126-26-003618,2026-04-17,2026-04-13,2026-04-17T21:07:41.000Z,34,8-K,001-39642,26872557,3.02,XBRL,241899,1,1,0.0,cxapp_8k.htm,8-K
0001829126-26-003413,2026-04-10,2026-04-08,2026-04-10T21:15:19.000Z,34,8-K,001-39642,26855739,3.02,XBRL,247228,1,1,0.0,cxapp_8k.htm,8-K
0001829126-26-002840,2026-03-30,2025-12-31,2026-03-30T21:32:48.000Z,34,10-K,001-39642,26813405,,XBRL,10505999,1,1,,cxappinc_10k.htm,10-K
0001829126-26-002748,2026-03-26,2026-03-02,2026-03-26T21:28:49.000Z,34,8-K,001-39642,26799595,3.02,XBRL,246731,1,1,,cxapp_8k.htm,8-K
0001829126-26-002217,2026-03-12,,2026-03-12T13:00:41.000Z,33,424B3,333-281452,26745836,,424B3,38704,0,0,,cxapp_424b3.htm,424B3
0001829126-26-002216,2026-03-12,2026-03-11,2026-03-12T13:00:41.000Z,34,8-K,001-39642,26745835,"3.01,9.01",XBRL,249002,1,1,,cxapp_8k.htm,8-K
0001829126-26-000827,2026-01-30,,2026-01-30T22:15:31.000Z,33,424B3,333-281452,26584545,,424B3,37431,0,0,,cxapp_424b3.htm,424B3
0001829126-26-000826,2026-01-30,2026-01-26,2026-01-30T22:15:33.000Z,34,8-K,001-39642,26584546,3.02,XBRL,248424,1,1,,cxapp_8k.htm,8-K
0001829126-25-009956,2025-12-12,,2025-12-12T22:00:34.000Z,33,424B3,333-281452,251568977,,424B3,37264,0,0,,cxapp_424b3.htm,424B3
0001829126-25-009955,2025-12-12,2025-12-09,2025-12-12T22:00:29.000Z,34,8-K,001-39642,251568973,3.02,XBRL,248883,1,1,,cxapp_8k.htm,8-K
0001829126-25-009079,2025-11-12,,2025-11-12T22:28:43.000Z,33,424B3,333-281452,251474444,,424B3,821660,0,0,,cxapp_424b3.htm,424B3
0001829126-25-009077,2025-11-12,2025-09-30,2025-11-12T22:11:35.000Z,34,10-Q,001-39642,251474188,,XBRL,8053927,1,1,,cxappinc_10q.htm,10-Q
0001829126-25-008391,2025-10-23,,2025-10-23T21:29:43.000Z,33,424B3,333-281452,251413883,,424B3,130824,0,0,,cxapp_424b3.htm,424B3
0001829126-25-008390,2025-10-23,2025-10-17,2025-10-23T21:28:49.000Z,34,8-K,001-39642,251413877,"1.01,2.03,3.02,9.01",XBRL,362927,1,1,,cxapp_8k.htm,8-K
0001829126-25-007362,2025-09-12,,2025-09-12T20:33:23.000Z,33,424B3,333-281452,251311931,,424B3,39595,0,0,,cxapp_424b3.htm,424B3
0001829126-25-007361,2025-09-12,2025-09-11,2025-09-12T20:32:36.000Z,34,8-K,001-39642,251311914,"3.01,9.01",XBRL,251010,1,1,,cxapp_8k.htm,8-K
0001829126-25-006142,2025-08-13,,2025-08-12T22:33:53.000Z,33,424B3,333-281452,251208386,,424B3,750881,0,0,,cxapp_424b3.htm,424B3
0001829126-25-006141,2025-08-13,2025-06-30,2025-08-12T22:32:14.000Z,34,10-Q,001-39642,251208379,,XBRL,7639347,1,1,,cxappinc_10q.htm,10-Q
0001829126-25-006023,2025-08-11,2025-08-08,2025-08-11T11:00:36.000Z,34,8-K,001-39642,251200091,"1.01,8.01,9.01",XBRL,261378,1,1,,cxapp_8k.htm,8-K
0001829126-25-006018,2025-08-11,,2025-08-09T01:35:51.000Z,33,S-3,333-289460,251199918,,S-3,1043743,1,1,,cxapp_s3.htm,S-3
0001829126-25-005863,2025-08-06,,2025-08-06T20:47:30.000Z,33,424B3,333-281452,251190388,,424B3,267925,0,0,,cxapp_424b3.htm,424B3
0001829126-25-005771,2025-08-04,2025-08-04,2025-08-04T21:13:42.000Z,34,8-K,001-39642,251181503,"5.03,8.01,9.01",XBRL,501718,1,1,,cxapp_8k.htm,8-K
