accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription
0001140361-26-023907,2026-06-03,2026-05-28,2026-06-03T21:20:49.000Z,34,8-K,001-40977,261062085,"1.01,2.04",XBRL,169366,1,1,0.0,ef20075535_8k.htm,8-K
0001140361-26-023859,2026-06-03,2026-06-03,2026-06-03T19:05:41.000Z,34,8-K,001-40977,261060264,"1.02,9.01",XBRL,159835,1,1,0.0,ef20075532_8k.htm,8-K
0001140361-26-022598,2026-05-22,2026-05-20,2026-05-22T20:05:36.000Z,34,8-K,001-40977,261013691,"3.01,9.01",XBRL,165867,1,1,0.0,ef20074443_8k.htm,8-K
0001140361-26-021906,2026-05-18,2026-05-12,2026-05-18T20:30:32.000Z,34,8-K,001-40977,26994033,"1.02,9.01",XBRL,187483,1,1,0.0,ef20074086_form8k.htm,8-K
0001140361-26-018610,2026-05-01,2026-04-27,2026-05-01T21:23:22.000Z,34,8-K,001-40977,26933882,"1.01,3.02,9.01",XBRL,718739,1,1,0.0,ef20071946_8k.htm,8-K
0001140361-26-014573,2026-04-14,,2026-04-14T17:26:08.000Z,33,424B3,333-285728,26860152,,424B3,1521734,0,0,0.0,ef20070530_424b3.htm,424B3
0001140361-26-014502,2026-04-14,2026-04-13,2026-04-14T10:05:31.000Z,34,8-K,001-40977,26859081,"1.01,7.01,9.01",XBRL,2086707,1,1,0.0,ef20070306_8k.htm,8-K
0001140361-26-014267,2026-04-10,2026-04-07,2026-04-10T20:30:36.000Z,34,8-K,001-40977,26855285,"3.01,9.01",XBRL,164825,1,1,0.0,ef20070134_8k.htm,8-K
0001140361-26-010324,2026-03-19,2026-03-13,2026-03-19T11:04:36.000Z,34,8-K,001-40977,26772378,"1.01,3.02,8.01,9.01",XBRL,276905,1,1,,ef20068315_8k.htm,8-K
0001140361-26-009427,2026-03-13,2026-01-31,2026-03-13T21:29:38.000Z,34,10-Q,001-40977,26753638,,XBRL,8741316,1,1,,ef20061933_10q.htm,10-Q
0001140361-26-006731,2026-02-25,2026-02-23,2026-02-25T14:01:20.000Z,34,8-K,001-40977,26674526,"8.01,9.01",XBRL,160880,1,1,,ef20066498_8k.htm,8-K
