accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription
0001104659-26-065138,2026-05-21,2026-05-21,2026-05-21T20:05:28.000Z,34,8-K,001-40454,261008350,"5.02,9.01",XBRL,247297,1,1,0.0,tm2615369d1_8k.htm,FORM 8-K
0001104659-26-061192,2026-05-14,2026-05-14,2026-05-14T20:16:36.000Z,34,8-K,001-40454,26979195,"2.02,9.01",XBRL,207042,1,1,0.0,tm2614693d1_8k.htm,FORM 8-K
0001104659-26-061180,2026-05-14,2026-03-31,2026-05-14T20:14:47.000Z,34,10-Q,001-40454,26979079,,XBRL,9836974,1,1,1.0,tmb-20260331x10q.htm,10-Q
0001104659-26-049843,2026-04-28,2026-04-28,2026-04-28T12:30:32.000Z,34,8-K,001-40454,26903292,"5.02,5.03,7.01,9.01",XBRL,467578,1,1,0.0,tm2612908d1_8k.htm,FORM 8-K
0001104659-26-037918,2026-03-31,2025-12-31,2026-03-31T21:23:12.000Z,34,10-K,001-40454,26823588,,XBRL,16335333,1,1,,tmb-20251231x10k.htm,10-K
0001104659-26-037754,2026-03-31,2026-03-31,2026-03-31T20:15:40.000Z,34,8-K,001-40454,26822062,"2.02,9.01",XBRL,212573,1,1,,tm2610774d1_8k.htm,FORM 8-K
0001104659-26-003564,2026-01-14,2026-01-14,2026-01-14T13:30:45.000Z,34,8-K,001-40454,26531529,"7.01,8.01,9.01",XBRL,222600,1,1,,tm263119d1_8k.htm,FORM 8-K
0001104659-25-123511,2025-12-22,2025-12-22,2025-12-22T13:30:41.000Z,34,8-K,001-40454,251589577,"7.01,8.01,9.01",XBRL,212917,1,1,,tm2534003d1_8k.htm,FORM 8-K
0001104659-25-121827,2025-12-17,2025-12-17,2025-12-17T13:05:51.000Z,34,8-K,001-40454,251577293,"7.01,9.01",XBRL,212340,1,1,,tm2533694d1_8k.htm,FORM 8-K
0001104659-25-120154,2025-12-11,2025-12-11,2025-12-11T13:30:45.000Z,34,8-K,001-40454,251563602,"7.01,9.01",XBRL,218128,1,1,,tm2533237d1_8k.htm,FORM 8-K
0001104659-25-119501,2025-12-09,2025-12-09,2025-12-09T13:30:35.000Z,34,8-K,001-40454,251557710,"7.01,9.01",XBRL,221170,1,1,,tm2533019d1_8k.htm,FORM 8-K
0001104659-25-116483,2025-11-26,2025-11-21,2025-11-26T22:12:39.000Z,34,8-K,001-40454,251531414,5.07,XBRL,197124,1,1,,tm2532209d1_8k.htm,FORM 8-K
0001104659-25-115183,2025-11-24,2025-11-24,2025-11-24T13:30:43.000Z,34,8-K,001-40454,251509665,"7.01,9.01",XBRL,214912,1,1,,tm2532002d1_8k.htm,FORM 8-K
0001104659-25-113666,2025-11-18,2025-11-18,2025-11-18T21:16:07.000Z,34,8-K,001-40454,251494864,"2.02,7.01,9.01",XBRL,229391,1,1,,tm2531615d1_8k.htm,FORM 8-K
0001104659-25-113662,2025-11-18,2025-09-30,2025-11-18T21:15:07.000Z,34,10-Q,001-40454,251494819,,XBRL,13887760,1,1,,tmb-20250930x10q.htm,10-Q
0001104659-25-110399,2025-11-12,2025-11-12,2025-11-12T21:17:28.000Z,34,8-K,001-40454,251473017,"7.01,9.01",XBRL,212687,1,1,,tm2531047d1_8k.htm,FORM 8-K
0001104659-25-098100,2025-10-09,2025-10-09,2025-10-09T12:30:39.000Z,34,8-K,001-40454,251383658,"7.01,9.01",XBRL,242199,1,1,,tm2528372d1_8k.htm,FORM 8-K
0001104659-25-096890,2025-10-06,2025-11-21,2025-10-06T10:06:18.000Z,34,DEF 14A,001-40454,251375546,,XBRL,1264210,1,1,,tm2526912d1_def14a.htm,FORM DEF 14A
0001104659-25-095884,2025-10-02,2025-10-02,2025-10-02T12:30:35.000Z,34,8-K,001-40454,251367088,"7.01,9.01",XBRL,216110,1,1,,tm2527802d1_8k.htm,FORM 8-K
0001104659-25-094763,2025-09-30,,2025-09-30T12:30:24.000Z,33,424B5,333-287576,251358220,,424B5,16009,0,0,,tm2526981d1_424b5.htm,424B5
0001104659-25-088474,2025-09-09,2025-09-09,2025-09-09T12:30:41.000Z,34,8-K,001-40454,251301765,"7.01,9.01",XBRL,212856,1,1,,tm2525621d1_8k.htm,FORM 8-K
0001104659-25-080557,2025-08-20,2025-08-20,2025-08-20T12:30:38.000Z,34,8-K,001-40454,251233998,"7.01,9.01",XBRL,214359,1,1,,tm2523940d1_8k.htm,FORM 8-K
0001104659-25-080047,2025-08-19,2025-08-19,2025-08-19T12:30:48.000Z,34,8-K,001-40454,251229740,"7.01,9.01",XBRL,218826,1,1,,tm2523817d1_8k.htm,FORM 8-K
0001104659-25-078619,2025-08-14,2025-08-14,2025-08-14T20:17:26.000Z,34,8-K,001-40454,251219454,"2.02,7.01,9.01",XBRL,229436,1,1,,tm2523554d1_8k.htm,FORM 8-K
0001410578-25-001816,2025-08-14,2025-06-30,2025-08-14T20:15:22.000Z,34,10-Q,001-40454,251219320,,XBRL,13222467,1,1,,tmb-20250630x10q.htm,10-Q
0001104659-25-074219,2025-08-05,2025-08-05,2025-08-05T20:30:49.000Z,34,8-K,001-40454,251185461,"7.01,9.01",XBRL,207938,1,1,,tm2522612d1_8k.htm,FORM 8-K
0001104659-25-066854,2025-07-10,2025-07-10,2025-07-10T12:30:39.000Z,34,8-K,001-40454,251114903,"2.03,7.01,8.01,9.01",XBRL,234957,1,1,,tm2520325d1_8k.htm,FORM 8-K
0001104659-25-066590,2025-07-09,2025-07-09,2025-07-09T12:01:36.000Z,34,8-K,001-40454,251112302,"7.01,8.01,9.01",XBRL,221685,1,1,,tm2520140d1_8k.htm,FORM 8-K
0001104659-25-066291,2025-07-08,2025-07-01,2025-07-08T12:00:36.000Z,34,8-K,001-40454,251109544,"1.01,2.03,7.01,9.01",XBRL,449620,1,1,,tm2520046d1_8k.htm,FORM 8-K
0001104659-25-063716,2025-06-30,2025-06-23,2025-06-27T21:37:07.000Z,34,8-K,001-40454,251088144,"3.03,5.03,9.01",XBRL,206023,1,1,,tm2519014d1_8k.htm,FORM 8-K
0001104659-25-059440,2025-06-13,2025-06-13,2025-06-13T21:01:08.000Z,34,8-K,001-40454,251047529,"7.01,8.01,9.01",XBRL,229768,1,1,,tm2517954d1_8k.htm,FORM 8-K
0001104659-25-057892,2025-06-09,2025-06-09,2025-06-09T21:24:55.000Z,34,8-K,001-40454,251035148,"1.01,9.01",XBRL,545145,1,1,,tm2517523d1_8k.htm,FORM 8-K
0001104659-25-057631,2025-06-09,2025-06-09,2025-06-09T12:30:37.000Z,34,8-K,001-40454,251032901,"7.01,8.01,9.01",XBRL,224716,1,1,,tm2517423d2_8k.htm,FORM 8-K
0001104659-25-057584,2025-06-09,,2025-06-09T10:45:30.000Z,33,424B5,333-287576,251032788,,424B5,291738,0,0,,tm2516103d4_424b5.htm,424B5
0001104659-25-057570,2025-06-09,2025-06-06,2025-06-09T10:30:30.000Z,34,8-K,001-40454,251032780,5.02,XBRL,200519,1,1,,tm2517423d1_8k.htm,FORM 8-K
