accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription
0001493152-26-027109,2026-06-03,2026-06-03,2026-06-03T20:32:39.000Z,34,DEF 14A,001-41515,261061273,,XBRL,665603,1,1,0.0,formdef14a.htm,DEF 14A
0001493152-26-025087,2026-05-22,2026-05-21,2026-05-22T21:27:31.000Z,34,8-K,001-41515,261015147,"3.01,9.01",XBRL,226183,1,1,0.0,form8-k.htm,8-K
0001493152-26-022509,2026-05-12,2026-05-07,2026-05-12T20:30:56.000Z,34,8-K,001-41515,26969141,"5.02,7.01,9.01",XBRL,19375981,1,1,0.0,form8-k.htm,8-K
0001493152-26-021326,2026-05-05,,2026-05-05T21:00:26.000Z,33,424B3,333-295327,26944372,,424B3,226560,0,0,0.0,form424b3.htm,424B3
0001493152-26-019830,2026-04-30,2026-04-30,2026-04-30T16:54:25.000Z,34,PRE 14A,001-41515,26922411,,XBRL,664323,1,1,0.0,formpre14a.htm,PRE 14A
0001493152-26-019496,2026-04-29,2026-04-26,2026-04-29T13:30:20.000Z,34,8-K,001-41515,26911005,"1.01,3.02,7.01,9.01",XBRL,658936,1,1,0.0,form8-k.htm,8-K
0001493152-26-018979,2026-04-24,,2026-04-24T21:25:52.000Z,33,S-1,333-295327,26895877,,S-1,18425485,1,1,0.0,forms-1.htm,S-1
0001493152-26-018345,2026-04-21,2026-04-20,2026-04-21T21:10:11.000Z,34,8-K,001-41515,26880493,"3.01,9.01",XBRL,217468,1,1,0.0,form8-k.htm,8-K
0001493152-26-018110,2026-04-20,2025-12-31,2026-04-20T20:46:34.000Z,34,10-K,001-41515,26875628,,XBRL,8665187,1,1,1.0,form10-k.htm,10-K
0001493152-26-012190,2026-03-23,2026-03-20,2026-03-23T21:00:30.000Z,34,8-K,001-41515,26783112,"5.03,9.01",XBRL,354894,1,1,,form8-k.htm,8-K
0001493152-26-010669,2026-03-18,2026-03-15,2026-03-18T10:04:51.000Z,34,8-K,001-41515,26764736,"1.01,3.02,7.01,9.01",XBRL,658382,1,1,,form8-k.htm,8-K
0001493152-26-005128,2026-02-04,2026-02-02,2026-02-04T22:00:25.000Z,34,8-K,001-41515,26599203,"5.02,7.01,9.01",XBRL,1414205,1,1,,form8-k.htm,8-K
0001493152-26-003461,2026-01-23,,2026-01-23T22:25:40.000Z,33,S-1,333-292932,26557794,,XBRL,12350941,1,1,,forms-1.htm,S-1
0001493152-26-002077,2026-01-13,2026-01-08,2026-01-13T22:00:45.000Z,34,8-K,001-41515,26530713,"5.02,9.01",XBRL,203253,1,1,,form8-k.htm,8-K
0001493152-26-000629,2026-01-06,2025-12-31,2026-01-06T22:15:28.000Z,34,8-K,001-41515,26512762,"4.01,9.01",XBRL,219091,1,1,,form8-k.htm,8-K
0001493152-26-000031,2026-01-02,,2026-01-02T15:25:34.000Z,33,424B3,333-290875,26500643,,424B3,234272,0,0,,form424b3.htm,424B3
0001493152-25-029721,2025-12-31,2025-12-30,2025-12-31T14:00:28.000Z,34,8-K,001-41515,251615797,"3.01,9.01",XBRL,237767,1,1,,form8-k.htm,8-K
0001493152-25-028857,2025-12-23,2025-09-30,2025-12-22T22:44:07.000Z,34,10-Q,001-41515,251593638,,XBRL,5272941,1,1,,form10-q.htm,10-Q
0001493152-25-027171,2025-12-11,2025-12-05,2025-12-11T14:00:35.000Z,34,8-K,001-41515,251563650,"5.02,9.01",XBRL,231621,1,1,,form8-k.htm,8-K
0001493152-25-025400,2025-11-28,2025-11-20,2025-11-28T21:45:33.000Z,34,8-K,001-41515,251536256,"3.01,9.01",XBRL,260089,1,1,,form8-k.htm,8-K
0001493152-25-021820,2025-11-12,2025-11-12,2025-11-12T17:33:14.000Z,34,DEF 14A,001-41515,251471104,,XBRL,669400,1,1,,formdef14a.htm,DEF 14A
