accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription
0001493152-26-026664,2026-06-01,2026-06-01,2026-06-01T21:12:48.000Z,34,PRE 14A,001-34170,261052265,,XBRL,1973416,1,1,0.0,formpre14a.htm,PRE 14A
0001493152-26-026656,2026-06-01,2026-06-01,2026-06-01T21:02:36.000Z,34,8-K,001-34170,261052144,"8.01,9.01",XBRL,225498,1,1,0.0,form8-k.htm,8-K
0001493152-26-023667,2026-05-15,2026-03-31,2026-05-15T19:42:59.000Z,34,10-Q,001-34170,26986370,,XBRL,8741367,1,1,1.0,form10-q.htm,10-Q
0001493152-26-022740,2026-05-13,2026-05-13,2026-05-13T20:22:23.000Z,34,8-K,001-34170,26973709,"2.02,9.01",XBRL,344350,1,1,0.0,form8-k.htm,
0001493152-26-021158,2026-05-04,,2026-05-04T21:25:34.000Z,33,424B5,333-295326,26939265,,424B5,161706,0,0,0.0,form424b5.htm,424B5
0001493152-26-018973,2026-04-24,,2026-04-24T21:20:23.000Z,33,S-3,333-295326,26895770,,S-3,437228,1,1,0.0,forms-3.htm,S-3
0001493152-26-015455,2026-04-07,2026-04-07,2026-04-07T12:45:51.000Z,34,8-K,001-34170,26843065,"7.01,9.01",XBRL,14135104,1,1,0.0,form8-k.htm,8-K
0001493152-26-010200,2026-03-16,2026-03-16,2026-03-16T13:17:56.000Z,34,8-K,001-34170,26754748,"8.01,9.01",XBRL,225290,1,1,,form8-k.htm,8-K
0001493152-26-008898,2026-03-04,2025-12-31,2026-03-04T22:20:52.000Z,34,10-K,001-34170,26722801,,XBRL,12537913,1,1,,form10-k.htm,10-K
0001493152-26-008862,2026-03-04,2026-03-04,2026-03-04T21:19:18.000Z,34,8-K,001-34170,26721571,"2.02,9.01",XBRL,363764,1,1,,form8-k.htm,8-K
0001493152-26-007837,2026-02-24,2026-02-24,2026-02-24T14:28:49.000Z,34,8-K,001-34170,26667866,"7.01,9.01",XBRL,232387,1,1,,form8-k.htm,8-K
0001493152-26-007835,2026-02-24,2026-02-23,2026-02-24T14:15:57.000Z,34,8-K,001-34170,26667790,"1.01,1.02,2.03,3.02,7.01,9.01",XBRL,1326658,1,1,,form8-k.htm,8-K
0001493152-26-004952,2026-02-04,2026-02-03,2026-02-04T01:43:17.000Z,34,8-K,001-34170,26595619,"2.01,9.01",XBRL,204683,1,1,,form8-k.htm,8-K
0001493152-26-004505,2026-01-30,2026-01-26,2026-01-30T21:17:33.000Z,34,8-K,001-34170,26583637,"1.01,7.01,9.01",XBRL,1096980,1,1,,form8-k.htm,8-K
0001493152-26-002621,2026-01-16,2026-01-12,2026-01-16T22:01:45.000Z,34,8-K,001-34170,26540285,3.01,XBRL,201392,1,1,,form8-k.htm,8-K
0001493152-25-024645,2025-11-21,2025-11-17,2025-11-21T21:27:23.000Z,34,8-K,001-34170,251508360,5.02,XBRL,203029,1,1,,form8-k.htm,8-K
0001493152-25-021931,2025-11-12,2025-09-30,2025-11-12T21:17:25.000Z,34,10-Q,001-34170,251473015,,XBRL,7807030,1,1,,form10-q.htm,10-Q
0001493152-25-021611,2025-11-12,2025-11-11,2025-11-12T11:06:16.000Z,34,8-K,001-34170,251468243,"2.02,9.01",XBRL,356957,1,1,,form8-k.htm,8-K
0001493152-25-012611,2025-09-04,2025-09-02,2025-09-04T13:27:18.000Z,34,8-K,001-34170,251292047,"5.02,7.01,9.01",XBRL,243306,1,1,,form8-k.htm,8-K
0001641172-25-022632,2025-08-08,2025-06-30,2025-08-07T21:58:31.000Z,34,10-Q,001-34170,251195597,,XBRL,9297945,1,1,,form10-q.htm,10-Q
0001641172-25-022588,2025-08-07,2025-08-07,2025-08-07T20:17:58.000Z,34,8-K,001-34170,251194329,"2.02,9.01",XBRL,362495,1,1,,form8-k.htm,8-K
0001641172-25-020845,2025-07-24,2025-07-22,2025-07-24T20:31:22.000Z,34,8-K,001-34170,251147418,"5.02,9.01",XBRL,231024,1,1,,form8-k.htm,8-K
0001641172-25-014120,2025-06-06,2025-06-02,2025-06-06T21:22:56.000Z,34,8-K,001-34170,251032097,"5.02,9.01",XBRL,204220,1,1,,form8-k.htm,8-K
0001641172-25-014015,2025-06-06,2025-06-06,2025-06-06T20:05:40.000Z,34,8-K,001-34170,251030587,"5.03,5.07,9.01",XBRL,242119,1,1,,form8-k.htm,8-K
