accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription
0001104659-26-069950,2026-06-03,2026-06-02,2026-06-03T14:09:58.000Z,34,8-K,000-23357,261059302,"1.01,1.03,2.04,7.01,8.01,9.01",XBRL,7136754,1,1,0.0,tm2616729d1_8k.htm,FORM 8-K
0001628280-26-039281,2026-06-01,2026-05-28,2026-06-01T11:34:27.000Z,34,8-K,000-23357,261047177,"1.01,2.03,9.01",XBRL,192516,1,1,0.0,notv-20260528.htm,8-K
0001104659-26-063032,2026-05-18,2026-05-13,2026-05-18T12:17:48.000Z,34,8-K,000-23357,26990860,"1.01,1.02,2.03,5.02,5.03,8.01,9.01",XBRL,2581177,1,1,0.0,tm2614614d1_8k.htm,FORM 8-K
0001628280-26-033620,2026-05-11,2026-03-31,2026-05-11T20:48:30.000Z,34,10-Q,000-23357,26964086,,XBRL,8654020,1,1,1.0,notv-20260331.htm,10-Q
0001628280-26-030076,2026-05-05,2026-05-04,2026-05-05T00:41:32.000Z,34,8-K,000-23357,26939957,8.01,XBRL,136008,1,1,0.0,notv-20260504.htm,8-K
0001628280-26-026108,2026-04-21,2026-04-20,2026-04-20T23:55:26.000Z,34,8-K,000-23357,26876475,8.01,XBRL,136020,1,1,0.0,notv-20260420.htm,8-K
0001628280-26-023960,2026-04-07,2026-04-06,2026-04-06T23:14:55.000Z,34,8-K,000-23357,26842548,8.01,XBRL,136023,1,1,0.0,notv-20260406.htm,8-K
0001628280-26-020674,2026-03-24,2026-03-23,2026-03-23T23:41:57.000Z,34,8-K,000-23357,26783853,8.01,XBRL,136027,1,1,,notv-20260323.htm,8-K
0001628280-26-016241,2026-03-10,2026-03-09,2026-03-10T12:13:31.000Z,34,8-K,000-23357,26737292,8.01,XBRL,136053,1,1,,notv-20260309.htm,8-K
0001628280-26-006192,2026-02-09,2026-02-09,2026-02-09T12:30:44.000Z,34,8-K,000-23357,26609604,"2.02,9.01",XBRL,380831,1,1,,notv-20260209.htm,8-K
0001628280-26-006468,2026-02-09,2025-12-31,2026-02-09T21:23:58.000Z,34,10-Q,000-23357,26611784,,XBRL,7852303,1,1,,notv-20251231.htm,10-Q
0001628280-26-002390,2026-01-16,2026-01-07,2026-01-16T21:18:23.000Z,34,8-K,000-23357,26539697,"8.01,9.01",XBRL,460245,1,1,,notv-20260107.htm,8-K
0001628280-26-001160,2026-01-07,2025-12-31,2026-01-07T21:06:17.000Z,34,8-K,000-23357,26515766,3.01,XBRL,138366,1,1,,notv-20251231.htm,8-K
0001628280-25-055483,2025-12-05,2025-09-30,2025-12-05T13:53:02.000Z,34,10-K,000-23357,251551306,,XBRL,13945328,1,1,,notv-20250930.htm,10-K
0001628280-25-055025,2025-12-03,2025-12-03,2025-12-03T21:12:15.000Z,34,8-K,000-23357,251546612,"2.02,9.01",XBRL,522489,1,1,,notv-20251203.htm,8-K
0001628280-25-052675,2025-11-17,2025-11-17,2025-11-17T22:11:46.000Z,34,8-K,000-23357,251491910,"2.02,9.01",XBRL,170501,1,1,,notv-20251117.htm,8-K
0001628280-25-042837,2025-09-25,2025-08-21,2025-09-25T21:02:50.000Z,34,8-K,000-23357,251344541,8.01,XBRL,160589,1,1,,notv-20250821.htm,8-K
0001628280-25-041413,2025-08-29,,2025-08-29T21:09:08.000Z,33,S-3,333-289957,251281941,,S-3,1889489,1,1,,inotiv-formsx3.htm,S-3
0001628280-25-040658,2025-08-18,2025-08-08,2025-08-18T20:19:52.000Z,34,8-K,000-23357,251228156,8.01,XBRL,143356,1,1,,notv-20250808.htm,8-K
0001628280-25-039017,2025-08-07,2025-06-30,2025-08-07T21:29:19.000Z,34,10-Q,000-23357,251195483,,XBRL,8863724,1,1,,notv-20250630.htm,10-Q
0001628280-25-038338,2025-08-06,2025-08-06,2025-08-06T20:13:05.000Z,34,8-K,000-23357,251189721,"2.02,9.01",XBRL,507798,1,1,,notv-20250806.htm,8-K
