accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription
0001801169-26-000014,2026-05-07,2026-03-31,2026-05-07T20:17:09.000Z,34,10-Q,001-39253,26953615,,XBRL,8022328,1,1,1.0,open-20260331.htm,10-Q
0001801169-26-000013,2026-05-07,2026-05-07,2026-05-07T20:14:36.000Z,34,8-K,001-39253,26953494,"2.02,7.01,9.01",XBRL,4172721,1,1,0.0,open-20260507.htm,8-K
0001140361-26-017460,2026-04-28,2026-06-11,2026-04-28T20:30:45.000Z,34,DEF 14A,001-39253,26908388,,XBRL,13559870,1,1,0.0,ny20064714x1_def14a.htm,DEF 14A
0001801169-26-000010,2026-02-19,2025-12-31,2026-02-19T21:25:06.000Z,34,10-K,001-39253,26654814,,XBRL,15822799,1,1,,open-20251231.htm,10-K
0001801169-26-000009,2026-02-19,2026-02-19,2026-02-19T21:22:53.000Z,34,8-K,001-39253,26654771,"2.02,7.01,9.01",XBRL,4475715,1,1,,open-20260219.htm,8-K
0001801169-26-000004,2026-01-26,2026-01-26,2026-01-26T13:51:43.000Z,34,8-K,001-39253,26558595,7.01,XBRL,200538,1,1,,open-20260126.htm,8-K
0001140361-25-045459,2025-12-15,2025-12-10,2025-12-15T12:10:35.000Z,34,8-K,001-39253,251569992,"5.02,7.01,9.01",XBRL,267151,1,1,,ef20061208_8k.htm,8-K
0001140361-25-042984,2025-11-21,2025-11-21,2025-11-21T21:41:01.000Z,34,8-K,001-39253,251508591,"1.01,7.01,9.01",XBRL,804163,1,1,,ef20059583_8k.htm,8-K
0001140361-25-042979,2025-11-21,,2025-11-21T21:32:50.000Z,33,424B5,333-279080,251508473,,424B5,1014706,1,1,,ny20059627x1_424b5.htm,424B5
0001140361-25-040966,2025-11-07,2025-11-07,2025-11-07T14:08:24.000Z,34,8-K,001-39253,251460768,"8.01,9.01",XBRL,190056,1,1,,ny20058304x3_8k.htm,8-K
0001140361-25-040965,2025-11-07,,2025-11-07T14:07:07.000Z,33,424B5,333-279080,251460765,,424B5,688489,1,1,,ny20058304x4_424b5.htm,424B5
0001801169-25-000090,2025-11-06,2025-11-06,2025-11-06T21:24:40.000Z,34,8-K,001-39253,251458771,"2.02,7.01,9.01",XBRL,4297404,1,1,,open-20251106.htm,8-K
0001801169-25-000092,2025-11-06,2025-09-30,2025-11-06T21:34:20.000Z,34,10-Q,001-39253,251459030,,XBRL,9792269,1,1,,open-20250930.htm,10-Q
0001140361-25-040804,2025-11-06,2025-11-06,2025-11-06T21:51:27.000Z,34,8-K,001-39253,251459287,"7.01,8.01,9.01",XBRL,398226,1,1,,ny20058304x2_8k.htm,FORM 8-K
0001140361-25-040822,2025-11-06,,2025-11-06T22:16:11.000Z,33,424B5,333-279080,251459563,,424B5,546298,0,0,,ny20058304x1_424b5.htm,424B5
0001801169-25-000086,2025-10-01,2025-10-01,2025-10-01T20:05:44.000Z,34,8-K,001-39253,251364673,"8.01,9.01",XBRL,26543392,1,1,,open-20251001.htm,8-K
0001140361-25-035480,2025-09-19,2025-09-18,2025-09-19T13:00:49.000Z,34,8-K,001-39253,251325162,5.02,XBRL,154260,1,1,,ef20055829_8k.htm,8-K
0001801169-25-000082,2025-09-17,2025-09-16,2025-09-17T11:01:25.000Z,34,8-K,001-39253,251318772,"7.01,8.01",XBRL,153110,1,1,,open-20250916.htm,8-K
0001140361-25-034609,2025-09-11,2025-09-06,2025-09-11T10:03:26.000Z,34,8-K,001-39253,251307170,"3.02,5.02,7.01,8.01,9.01",XBRL,224104,1,1,,ef20055426_8k.htm,8-K
0001140361-25-031416,2025-08-15,2025-08-15,2025-08-15T13:05:48.000Z,34,8-K,001-39253,251222572,5.02,XBRL,157000,1,1,,ef20054058_8k.htm,8-K
0001801169-25-000074,2025-08-05,2025-06-30,2025-08-05T20:21:14.000Z,34,10-Q,001-39253,251185302,,XBRL,8265425,1,1,,open-20250630.htm,10-Q
0001801169-25-000073,2025-08-05,2025-08-05,2025-08-05T20:19:03.000Z,34,8-K,001-39253,251185270,"2.02,7.01,9.01",XBRL,8707253,1,1,,open-20250805.htm,8-K
0001801169-25-000069,2025-08-01,2025-07-31,2025-08-01T21:07:16.000Z,34,8-K,001-39253,251177026,"8.01,9.01",XBRL,161737,1,1,,open-20250731.htm,8-K
0001801169-25-000044,2025-06-17,2025-06-13,2025-06-17T20:06:19.000Z,34,8-K,001-39253,251053340,5.07,XBRL,154559,1,1,,open-20250613.htm,8-K
0001140361-25-022644,2025-06-16,2025-07-28,2025-06-16T20:28:20.000Z,34,DEF 14A,001-39253,251050489,,DEF 14A,2170157,0,0,,ny20049668x2_def14a.htm,DEF 14A
0001140361-25-021773,2025-06-06,2025-07-28,2025-06-06T20:05:54.000Z,34,PRE 14A,001-39253,251030604,,PRE 14A,2100054,0,0,,ny20049668x1_pre14a.htm,PRE 14A
