accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription
0001104659-26-070504,2026-06-04,2026-06-02,2026-06-04T20:05:25.000Z,34,8-K,001-34392,261064901,5.02,XBRL,186710,1,1,0.0,tm2616928d1_8k.htm,FORM 8-K
0001104659-26-058712,2026-05-11,2026-03-31,2026-05-11T20:48:27.000Z,34,10-Q,001-34392,26964084,,XBRL,20339325,1,1,1.0,plug-20260331x10q.htm,10-Q
0001104659-26-058615,2026-05-11,2026-05-11,2026-05-11T20:01:39.000Z,34,8-K,001-34392,26963004,"2.02,9.01",XBRL,358335,1,1,0.0,tm2614034d1_8k.htm,FORM 8-K
0001104659-26-052851,2026-04-30,2026-06-11,2026-04-30T20:01:19.000Z,34,DEF 14A,001-34392,26924811,,XBRL,4329269,1,1,0.0,tm263044-1_def14a.htm,FORM DEF 14A
0001104659-26-025805,2026-03-10,2026-03-04,2026-03-10T20:01:01.000Z,34,8-K,001-34392,26739090,5.02,XBRL,189188,1,1,,tm268422d1_8k.htm,FORM 8-K
0001104659-26-022286,2026-03-02,2025-12-31,2026-03-02T21:30:29.000Z,34,10-K,001-34392,26708221,,XBRL,24293771,1,1,,plug-20251231x10k.htm,10-K
0001104659-26-022247,2026-03-02,2026-03-02,2026-03-02T21:06:52.000Z,34,8-K,001-34392,26707563,"2.02,9.01",XBRL,400116,1,1,,tm267677d1_8k.htm,FORM 8-K
0001104659-26-020476,2026-02-26,2026-02-24,2026-02-26T21:04:46.000Z,34,8-K,001-34392,26687775,"1.01,8.01,9.01",XBRL,441336,1,1,,tm267395d1_8k.htm,FORM 8-K
0001104659-26-014846,2026-02-13,2026-02-12,2026-02-13T15:40:14.000Z,34,8-K,001-34392,26629744,"5.03,5.07,9.01",XBRL,206656,1,1,,tm264582d11_8k.htm,FORM 8-K
0001104659-26-013537,2026-02-11,2026-02-11,2026-02-11T22:22:50.000Z,34,8-K,001-34392,26622099,"8.01,9.01",XBRL,199861,1,1,,tm264582d10_8k.htm,FORM 8-K
0001104659-26-010793,2026-02-05,2026-02-05,2026-02-05T18:03:22.000Z,34,8-K,001-34392,26601744,8.01,XBRL,192484,1,1,,tm265369d1_8k.htm,FORM 8-K
0001104659-26-008732,2026-01-30,2026-01-29,2026-01-30T22:22:01.000Z,34,8-K,001-34392,26584623,"5.07,8.01",XBRL,200271,1,1,,tm264582d2_8k.htm,FORM 8-K
0001104659-26-001336,2026-01-06,2025-12-30,2026-01-06T21:30:45.000Z,34,8-K,001-34392,26512058,"1.01,9.01",XBRL,314919,1,1,,tm262057d1_8k.htm,FORM 8-K
0001104659-25-120686,2025-12-12,2026-01-29,2025-12-12T21:51:03.000Z,34,DEF 14A,001-34392,251568833,,DEF 14A,927556,0,0,,tm2527479-4_def14a.htm,DEF 14A
0001104659-25-118652,2025-12-05,2025-12-03,2025-12-05T12:27:34.000Z,34,8-K,001-34392,251551180,8.01,XBRL,188070,1,1,,tm2527479d7_8k.htm,FORM 8-K
0001104659-25-114978,2025-11-21,2025-11-18,2025-11-21T21:01:33.000Z,34,8-K,001-34392,251507790,"1.01,1.02,2.03,3.02,8.01,9.01",XBRL,1172358,1,1,,tm2531936d1_8k.htm,FORM 8-K
0001104659-25-114656,2025-11-20,2026-01-15,2025-11-20T22:04:59.000Z,34,PRE 14A,001-34392,251503834,,PRE 14A,926192,0,0,,tm2527479-3_pre14a.htm,PRE 14A
0001104659-25-113437,2025-11-18,2025-11-18,2025-11-18T12:05:52.000Z,34,8-K,001-34392,251492808,"7.01,9.01",XBRL,10136266,1,1,,tm2531530d1_8k.htm,FORM 8-K
0001104659-25-108809,2025-11-10,2025-11-10,2025-11-10T12:14:01.000Z,34,8-K,001-34392,251464314,"7.01,9.01",XBRL,201637,1,1,,tm2530722d1_8k.htm,FORM 8-K
0001104659-25-109120,2025-11-10,2025-11-10,2025-11-10T21:01:49.000Z,34,8-K,001-34392,251466039,"2.02,7.01,9.01",XBRL,443666,1,1,,tm2530762d1_8k.htm,FORM 8-K
0001104659-25-109279,2025-11-10,2025-09-30,2025-11-10T22:12:06.000Z,34,10-Q,001-34392,251467352,,XBRL,12884935,1,1,,plug-20250930x10q.htm,10-Q
0001104659-25-097766,2025-10-08,2025-10-08,2025-10-08T12:52:15.000Z,34,8-K,001-34392,251381299,"1.01,9.01",XBRL,655995,1,1,,tm2528283d1_8k.htm,FORM 8-K
0001104659-25-097754,2025-10-08,,2025-10-08T12:33:55.000Z,33,424B5,333-287577,251381286,,424B5,776632,1,1,,tm2528280-1_424b5.htm,424B5
0001104659-25-097346,2025-10-07,2025-10-03,2025-10-07T12:32:40.000Z,34,8-K,001-34392,251378300,"5.02,7.01,9.01",XBRL,214434,1,1,,tm2528151d1_8k.htm,FORM 8-K
0001104659-25-095048,2025-09-30,2025-09-29,2025-09-30T20:28:19.000Z,34,8-K,001-34392,251360880,"1.01,9.01",XBRL,235282,1,1,,tm2523585d6_8k.htm,FORM 8-K
0001104659-25-095046,2025-09-30,,2025-09-30T20:27:00.000Z,33,424B5,333-287577,251360859,,424B5,12793,0,0,,tm2523585d5_424b5.htm,424B5
0001104659-25-092132,2025-09-22,2025-09-22,2025-09-22T20:01:34.000Z,34,8-K,001-34392,251330029,"8.01,9.01",XBRL,208700,1,1,,tm2523585d4_8k.htm,FORM 8-K
0001104659-25-079039,2025-08-15,2025-08-15,2025-08-15T13:08:41.000Z,34,8-K,001-34392,251222582,"1.01,9.01",XBRL,245259,1,1,,tm2523585d2_8k.htm,FORM 8-K
0001104659-25-079028,2025-08-15,,2025-08-15T12:55:37.000Z,33,424B5,333-287577,251222539,,424B5,576364,1,1,,tm2523585-1_424b5.htm,424B5
0001104659-25-076487,2025-08-12,2025-08-11,2025-08-12T11:42:11.000Z,34,8-K,001-34392,251204059,"7.01,9.01",XBRL,318229,1,1,,tm2523215d1_8k.htm,FORM 8-K
0001558370-25-011072,2025-08-11,2025-06-30,2025-08-11T21:02:58.000Z,34,10-Q,001-34392,251202843,,XBRL,12860852,1,1,,plug-20250630x10q.htm,10-Q
0001104659-25-076198,2025-08-11,2025-08-11,2025-08-11T20:49:07.000Z,34,8-K,001-34392,251202689,"2.02,7.01,9.01",XBRL,377212,1,1,,tm2523117d1_8k.htm,FORM 8-K
0001104659-25-066685,2025-07-09,2025-07-08,2025-07-09T20:03:09.000Z,34,8-K,001-34392,251113619,"3.02,8.01,9.01",XBRL,377929,1,1,,tm2520108d2_8k.htm,FORM 8-K
0001104659-25-066527,2025-07-09,2025-07-03,2025-07-09T00:14:33.000Z,34,8-K,001-34392,251112044,5.07,XBRL,221357,1,1,,tm2520053d2_8k.htm,FORM 8-K
0001104659-25-066312,2025-07-08,2025-07-07,2025-07-08T13:47:37.000Z,34,8-K,001-34392,251109804,"7.01,9.01",XBRL,304844,1,1,,tm2520053d1_8k.htm,FORM 8-K
0001104659-25-065583,2025-07-03,2025-07-03,2025-07-03T12:50:49.000Z,34,8-K,001-34392,251103872,"7.01,9.01",XBRL,2739921,1,1,,tm2519805d1_8k.htm,FORM 8-K
0001104659-25-057632,2025-06-09,2025-07-03,2025-06-09T12:41:36.000Z,34,DEF 14A,001-34392,251032920,,XBRL,5065675,1,1,,tm252490-3_def14a.htm,DEF 14A
0001104659-25-057297,2025-06-06,2025-06-05,2025-06-06T20:01:32.000Z,34,8-K,001-34392,251030436,"1.01,3.02,5.03,9.01",XBRL,281680,1,1,,tm2517253d1_8k.htm,FORM 8-K
