accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription
0001104659-26-053120,2026-04-30,2026-03-31,2026-04-30T21:00:54.000Z,34,10-Q,001-33675,26926915,,XBRL,12753384,1,1,1.0,riot-20260331x10q.htm,10-Q
0001104659-26-053098,2026-04-30,2026-06-09,2026-04-30T20:55:23.000Z,34,DEF 14A,001-33675,26926742,,XBRL,8844220,1,1,1.0,riot-20260609xdef14a.htm,DEF 14A
0001104659-26-052943,2026-04-30,2026-04-30,2026-04-30T20:15:27.000Z,34,8-K,001-33675,26925571,"2.02,9.01",XBRL,6516803,1,1,0.0,riot-20260430x8k.htm,8-K
0001104659-26-049432,2026-04-27,2026-04-21,2026-04-27T20:05:33.000Z,34,8-K,001-33675,26900861,"1.01,2.03,9.01",XBRL,873451,1,1,0.0,riot-20260421x8k.htm,8-K
0001104659-26-038545,2026-04-01,2026-03-26,2026-04-01T20:30:11.000Z,34,8-K,001-33675,26828710,"5.03,9.01",XBRL,481093,1,1,,riot-20260326x8k.htm,8-K
0001104659-26-022322,2026-03-02,2025-12-31,2026-03-02T22:05:32.000Z,34,10-K,001-33675,26709094,,XBRL,19628413,1,1,,riot-20251231x10k.htm,10-K
0001104659-26-022288,2026-03-02,2026-03-02,2026-03-02T21:30:19.000Z,34,8-K,001-33675,26708200,"2.02,9.01",XBRL,6053336,1,1,,riot-20260302x8k.htm,8-K
0001104659-26-004551,2026-01-16,2026-01-16,2026-01-16T21:15:19.000Z,34,8-K,001-33675,26539630,"8.01,9.01",XBRL,2832995,1,1,,riot-20260116x8k.htm,8-K
0001104659-26-000248,2026-01-02,2025-12-31,2026-01-02T22:23:15.000Z,34,8-K,001-33675,26503216,"5.02,9.01",XBRL,598398,1,1,,riot-20251231x8k.htm,8-K
0001104659-25-125324,2025-12-31,2025-12-30,2025-12-31T00:28:24.000Z,34,8-K,001-33675,251615485,"1.01,1.02,9.01",XBRL,652568,1,1,,riot-20251230x8k.htm,8-K
0001104659-25-125315,2025-12-31,,2025-12-31T00:13:45.000Z,33,424B5,333-281454,251615464,,424B5,499629,1,1,,riot-20251230x424b5.htm,424B5
0001104659-25-104466,2025-10-30,2025-09-30,2025-10-30T21:01:35.000Z,34,10-Q,001-33675,251436873,,XBRL,14229917,1,1,,riot-20250930x10q.htm,10-Q
0001104659-25-104461,2025-10-30,2025-10-30,2025-10-30T21:00:17.000Z,34,8-K,001-33675,251436849,"2.02,9.01",XBRL,8968583,1,1,,riot-20251030x8k.htm,8-K
0001558370-25-009896,2025-07-31,2025-06-30,2025-07-31T21:00:48.000Z,34,10-Q,001-33675,251172560,,XBRL,14242183,1,1,,riot-20250630x10q.htm,10-Q
0001558370-25-009894,2025-07-31,2025-07-31,2025-07-31T20:48:39.000Z,34,8-K,001-33675,251172335,"2.02,9.01",XBRL,7144776,1,1,,riot-20250731x8k.htm,8-K
0001558370-25-008673,2025-06-17,2025-06-10,2025-06-16T23:16:19.000Z,34,8-K,001-33675,251051485,5.07,XBRL,207347,1,1,,riot-20250610x8k.htm,8-K
