accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription
0001104659-26-064618,2026-05-20,2026-03-31,2026-05-20T21:21:11.000Z,34,10-Q,001-42115,261005145,,XBRL,6743298,1,1,1.0,smtk-20260331x10q.htm,10-Q
0001104659-26-063286,2026-05-18,2026-06-23,2026-05-18T21:23:42.000Z,34,DEF 14A,001-42115,26994991,,XBRL,2479520,1,1,0.0,tm261615-3_def14a.htm,DEF 14A
0001104659-26-055518,2026-05-05,2026-05-05,2026-05-05T18:39:42.000Z,34,PRE 14A,001-42115,26942342,,XBRL,2485390,1,1,0.0,tm261615-1_pre14a.htm,PRE 14A
0001104659-26-051601,2026-04-29,2026-04-23,2026-04-29T20:37:51.000Z,34,8-K,001-42115,26916990,"1.01,9.01",XBRL,281236,1,1,0.0,tm2613090d1_8k.htm,FORM 8-K
0001104659-26-049463,2026-04-27,,2026-04-27T20:31:44.000Z,33,424B3,333-295156,26901498,,424B3,155413,0,0,0.0,tm2612741d2_424b3.htm,424B3
0001104659-26-049460,2026-04-27,,2026-04-27T20:30:15.000Z,33,424B3,333-295154,26901457,,424B3,189033,0,0,0.0,tm2612741d1_424b3.htm,424B3
0001104659-26-047274,2026-04-23,2026-04-21,2026-04-23T12:00:29.000Z,34,8-K,001-42115,26885606,"3.01,9.01",XBRL,194044,1,1,0.0,tm2612408d2_8k.htm,FORM 8-K
0001104659-26-044933,2026-04-17,,2026-04-17T20:42:40.000Z,33,S-1,333-295154,26872206,,S-1,483295,1,1,0.0,tm2611840d1_s1.htm,FORM S-1
0001104659-26-044939,2026-04-17,,2026-04-17T20:45:16.000Z,33,S-3,333-295156,26872242,,S-3,396310,1,1,0.0,tm2611840d2_s3.htm,FORM S-3
0001104659-26-044943,2026-04-17,2026-04-13,2026-04-17T20:51:35.000Z,34,8-K,001-42115,26872330,5.02,XBRL,190524,1,1,0.0,tm2612134d1_8k.htm,FORM 8-K
0001104659-26-040562,2026-04-08,2025-12-31,2026-04-08T01:00:28.000Z,34,10-K,001-42115,26846247,,XBRL,9660550,1,1,1.0,smtk-20251231x10k.htm,10-K
0001104659-26-037405,2026-03-31,2026-03-30,2026-03-31T12:33:00.000Z,34,8-K,001-42115,26817256,"1.01,3.02,5.03,8.01,9.01",XBRL,1971095,1,1,,tm2610643d1_8k.htm,FORM 8-K
0001104659-26-035240,2026-03-26,2026-03-20,2026-03-26T20:30:19.000Z,34,8-K,001-42115,26798709,"1.01,9.01",XBRL,443617,1,1,,tm269537d1_8k.htm,FORM 8-K
0001104659-26-033047,2026-03-23,,2026-03-23T12:00:21.000Z,33,424B5,333-281608,26779938,,424B5,441864,0,0,,tm269507d1_424b5.htm,424B5
0001104659-26-032112,2026-03-19,2026-03-18,2026-03-19T20:30:18.000Z,34,8-K,001-42115,26774658,"1.01,2.03,9.01",XBRL,1179737,1,1,,tm269203d1_8k.htm,FORM 8-K
0001104659-26-026443,2026-03-11,2026-03-05,2026-03-11T21:01:03.000Z,34,8-K,001-42115,26744286,3.01,XBRL,198669,1,1,,tm268569d1_8k.htm,FORM 8-K
0001104659-26-015258,2026-02-13,2026-02-12,2026-02-13T21:30:50.000Z,34,8-K,001-42115,26633661,3.01,XBRL,194270,1,1,,tm266425d1_8k.htm,FORM 8-K
0001104659-26-011252,2026-02-06,2026-02-05,2026-02-06T13:05:34.000Z,34,8-K,001-42115,26605246,"1.01,3.02,9.01",XBRL,397587,1,1,,tm265435d1_8k.htm,FORM 8-K
0001104659-26-008511,2026-01-30,2026-01-30,2026-01-30T18:40:46.000Z,34,8-K,001-42115,26582034,"1.01,9.01",XBRL,579839,1,1,,tm264567d1_8k.htm,FORM 8-K
0001104659-26-008336,2026-01-30,,2026-01-30T13:44:46.000Z,33,424B5,333-281608,26580667,,424B5,374458,0,0,,tm264503d1_424b5.htm,424B5
0001104659-26-004112,2026-01-15,2026-01-09,2026-01-15T21:30:41.000Z,34,8-K,001-42115,26536644,5.02,XBRL,190299,1,1,,tm263321d1_8k.htm,FORM 8-K
0001104659-26-001067,2026-01-06,2026-01-06,2026-01-06T12:05:38.000Z,34,8-K,001-42115,26509384,8.01,XBRL,191868,1,1,,tm261870d1_8k.htm,FORM 8-K
0001104659-25-114601,2025-11-20,2025-11-20,2025-11-20T21:05:54.000Z,34,8-K,001-42115,251503087,8.01,XBRL,199817,1,1,,tm2531858d1_8k.htm,FORM 8-K
0001104659-25-111295,2025-11-13,2025-11-13,2025-11-13T21:11:18.000Z,34,8-K,001-42115,251478560,"2.02,9.01",XBRL,376251,1,1,,tm2531177d1_8k.htm,FORM 8-K
0001104659-25-111274,2025-11-13,2025-09-30,2025-11-13T21:06:44.000Z,34,10-Q,001-42115,251478401,,XBRL,7169099,1,1,,smtk-20250930x10q.htm,10-Q
0001104659-25-105530,2025-11-03,2025-10-31,2025-11-03T21:01:39.000Z,34,8-K,001-42115,251443949,"1.01,2.03,3.02,8.01,9.01",XBRL,1077663,1,1,,tm2528045d4_8k.htm,FORM 8-K
0001104659-25-099052,2025-10-14,2025-10-13,2025-10-14T13:00:35.000Z,34,8-K,001-42115,251389969,"1.01,9.01",XBRL,226931,1,1,,tm2528045d3_8k.htm,FORM 8-K
0001104659-25-097444,2025-10-07,2025-10-06,2025-10-07T17:49:55.000Z,34,8-K,001-42115,251379196,"3.02,8.01",XBRL,207454,1,1,,tm2528045d1_8k.htm,FORM 8-K
0001104659-25-087838,2025-09-05,2025-09-03,2025-09-05T20:30:49.000Z,34,8-K,001-42115,251297119,"5.02,8.01,9.01",XBRL,212171,1,1,,tm2525176d1_8k.htm,FORM 8-K
0001104659-25-084318,2025-08-28,2025-08-28,2025-08-28T11:41:12.000Z,34,8-K,001-42115,251267599,"8.01,9.01",XBRL,218773,1,1,,tm2524333d1_8k.htm,FORM 8-K
0001104659-25-079274,2025-08-15,2025-08-15,2025-08-15T20:30:43.000Z,34,8-K,001-42115,251225125,3.01,XBRL,195372,1,1,,tm2523647d1_8k.htm,FORM 8-K
0001104659-25-076842,2025-08-12,2025-08-12,2025-08-12T20:15:36.000Z,34,8-K,001-42115,251206895,"2.02,9.01",XBRL,321641,1,1,,tm2523102d1_8k.htm,FORM 8-K
0001558370-25-011221,2025-08-12,2025-06-30,2025-08-12T20:05:58.000Z,34,10-Q,001-42115,251206622,,XBRL,7139722,1,1,,smtk-20250630x10q.htm,10-Q
0001104659-25-066576,2025-07-09,2025-07-09,2025-07-09T11:10:39.000Z,34,8-K,001-42115,251112259,"8.01,9.01",XBRL,224603,1,1,,tm2520133d1_8k.htm,FORM 8-K
0001104659-25-062100,2025-06-24,2025-06-19,2025-06-24T20:10:07.000Z,34,8-K,001-42115,251069213,"1.01,9.01",XBRL,291463,1,1,,tm2518711d1_8k.htm,FORM 8-K
