accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription
0001213900-26-061610,2026-05-27,2026-05-27,2026-05-27T21:27:08.000Z,34,8-K,001-40193,261027657,"5.03,5.07,8.01,9.01",XBRL,1589943,1,1,0.0,ea0292095-8k_sound.htm,CURRENT REPORT
0001840856-26-000015,2026-05-11,2026-03-31,2026-05-11T21:28:02.000Z,34,10-Q,001-40193,26964619,,XBRL,8728941,1,1,1.0,soun-20260331.htm,10-Q
0001840856-26-000012,2026-05-07,2026-05-07,2026-05-07T20:41:00.000Z,34,8-K,001-40193,26954304,"2.02,9.01",XBRL,512202,1,1,0.0,soun-20260507.htm,8-K
0001213900-26-045987,2026-04-21,2026-04-21,2026-04-21T16:22:34.000Z,34,8-K,001-40193,26877758,"1.01,3.02,7.01,9.01",XBRL,1430409,1,1,0.0,ea0287117-8k425_sound.htm,CURRENT REPORT
0001213900-26-041978,2026-04-09,2026-05-22,2026-04-09T20:05:22.000Z,34,DEF 14A,001-40193,26851598,,XBRL,10992665,1,1,0.0,ea0285618-01.htm,PROXY STATEMENT
0001213900-26-030707,2026-03-18,2026-03-18,2026-03-18T20:09:43.000Z,34,8-K,001-40193,26769018,"5.02,9.01",XBRL,248381,1,1,,ea0282324-8k_sound.htm,CURRENT REPORT
0001840856-26-000006,2026-03-02,2025-12-31,2026-03-02T21:01:55.000Z,34,10-K,001-40193,26707427,,XBRL,16467381,1,1,,soun-20251231.htm,10-K
0001840856-26-000002,2026-02-26,2026-02-26,2026-02-26T21:30:32.000Z,34,8-K,001-40193,26689372,"2.02,9.01",XBRL,725453,1,1,,soun-20260226.htm,8-K
0001840856-25-000022,2025-11-10,2025-09-30,2025-11-10T21:23:45.000Z,34,10-Q,001-40193,251466568,,XBRL,11406730,1,1,,soun-20250930.htm,10-Q
0001840856-25-000018,2025-11-06,2025-11-06,2025-11-06T21:26:39.000Z,34,8-K,001-40193,251458810,"2.02,9.01",XBRL,546558,1,1,,soun-20251106.htm,8-K
0001213900-25-086243,2025-09-09,2025-09-03,2025-09-09T21:08:59.000Z,34,8-K,001-40193,251304004,"1.01,2.01,7.01,8.01,9.01",XBRL,1077382,1,1,,ea0256604-8k_sound.htm,CURRENT REPORT
0001628280-25-039596,2025-08-11,2025-06-30,2025-08-11T20:31:52.000Z,34,10-Q,001-40193,251202495,,XBRL,10611800,1,1,,soun-20250630.htm,10-Q
0001628280-25-038931,2025-08-07,2025-08-07,2025-08-07T20:29:34.000Z,34,8-K,001-40193,251194626,"2.02,9.01",XBRL,512563,1,1,,soun-20250807.htm,8-K
