accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription
0001493152-26-024650,2026-05-20,2026-03-31,2026-05-20T21:05:46.000Z,34,10-Q,001-39796,261004983,,XBRL,7120044,1,1,1.0,form10-q.htm,10-Q
0001493152-26-022022,2026-05-08,,2026-05-08T21:10:23.000Z,33,424B3,333-293492,26959676,,424B3,330370,0,0,0.0,form424b3.htm,424B3
0001493152-26-018562,2026-04-22,2026-04-22,2026-04-22T20:25:18.000Z,34,8-K,001-39796,26884138,3.01,XBRL,203275,1,1,0.0,form8-k.htm,8-K
0001493152-26-016865,2026-04-15,2026-04-15,2026-04-15T21:15:08.000Z,34,8-K,001-39796,26864915,"2.02,9.01",XBRL,284560,1,1,0.0,form8-k.htm,8-K
0001493152-26-016854,2026-04-15,2025-12-31,2026-04-15T21:00:25.000Z,34,10-K,001-39796,26864785,,XBRL,10930174,1,1,1.0,form10-k.htm,10-K
0001493152-26-015132,2026-04-03,2026-04-03,2026-04-03T20:05:33.000Z,34,8-K,001-39796,26838115,"1.01,3.02,9.01",XBRL,836315,1,1,,form8-k.htm,8-K
0001493152-26-006829,2026-02-17,,2026-02-14T00:17:27.000Z,33,S-3,333-293492,26635473,,S-3,588588,1,1,,forms-3.htm,S-3
0001493152-26-005554,2026-02-06,2026-02-06,2026-02-06T21:05:34.000Z,34,8-K,001-39796,26607593,5.02,XBRL,203850,1,1,,form8-k.htm,8-K
0001493152-26-002844,2026-01-20,2026-01-20,2026-01-20T21:05:35.000Z,34,8-K,001-39796,26542836,"1.01,3.02,9.01",XBRL,749737,1,1,,form8-k.htm,8-K
0001493152-26-002557,2026-01-16,2026-01-16,2026-01-16T21:05:42.000Z,34,8-K,001-39796,26539481,"1.01,2.03,3.02,9.01",XBRL,259514,1,1,,form8-k.htm,8-K
0001493152-26-002251,2026-01-14,,2026-01-14T21:05:32.000Z,33,424B3,333-278564,26533350,,424B3,324046,0,0,,form424b3.htm,424B3
0001493152-25-028019,2025-12-17,2025-12-16,2025-12-16T22:54:28.000Z,34,8-K,001-39796,251576666,"8.01,9.01",XBRL,227038,1,1,,form8-k.htm,8-K
0001493152-25-026438,2025-12-05,2025-12-05,2025-12-05T22:12:45.000Z,34,8-K,001-39796,251553791,"1.01,2.03,9.01",XBRL,515258,1,1,,form8-k.htm,8-K
0001493152-25-024253,2025-11-19,2025-09-30,2025-11-19T21:06:19.000Z,34,10-Q,001-39796,251499411,,XBRL,6496759,1,1,,form10-q.htm,10-Q
0001493152-25-024289,2025-11-19,2025-11-19,2025-11-19T21:45:04.000Z,34,8-K,001-39796,251499902,"2.02,9.01",XBRL,307010,1,1,,form8-k.htm,8-K
0001493152-25-020750,2025-11-04,2025-11-04,2025-11-04T21:58:16.000Z,34,8-K,001-39796,251450396,5.07,XBRL,215268,1,1,,form8-k.htm,8-K
0001493152-25-019362,2025-10-24,,2025-10-24T21:22:15.000Z,33,424B5,333-284834,251416996,,424B5,17010,0,0,,form424b5.htm,424B5
0001493152-25-019359,2025-10-24,2025-10-24,2025-10-24T21:20:50.000Z,34,8-K,001-39796,251416976,"8.01,9.01",XBRL,223689,1,1,,form8-k.htm,8-K
0001493152-25-015837,2025-09-29,2025-09-26,2025-09-26T23:42:03.000Z,34,DEF 14A,001-39796,251351827,,XBRL,8835518,1,1,,formdef14a.htm,DEF 14A
0001493152-25-013953,2025-09-18,2025-09-17,2025-09-18T00:41:12.000Z,34,8-K,001-39796,251321563,"8.01,9.01",XBRL,238864,1,1,,form8-k.htm,8-K
0001641172-25-027210,2025-09-12,2025-09-12,2025-09-12T20:52:50.000Z,34,8-K,001-39796,251312140,"8.01,9.01",XBRL,490441,1,1,,form8-k.htm,8-K
0001641172-25-027207,2025-09-12,,2025-09-12T20:50:44.000Z,33,424B5,333-284834,251312126,,424B5,595242,0,0,,form424b5.htm,424B5
0001641172-25-024979,2025-08-20,2025-08-20,2025-08-20T20:05:35.000Z,34,8-K,001-39796,251236825,"2.02,9.01",XBRL,299076,1,1,,form8-k.htm,8-K
0001641172-25-024832,2025-08-19,2025-06-30,2025-08-19T20:06:33.000Z,34,10-Q,001-39796,251231796,,XBRL,6191777,1,1,,form10-q.htm,10-Q
0001641172-25-015115,2025-06-13,2025-06-13,2025-06-13T21:02:21.000Z,34,8-K,001-39796,251047540,"1.01,2.03,3.02,8.01,9.01",XBRL,1807677,1,1,,form8-k.htm,8-K
0001641172-25-014118,2025-06-06,2025-06-06,2025-06-06T21:19:55.000Z,34,8-K,001-39796,251032071,"4.01,9.01",XBRL,214830,1,1,,form8-k.htm,8-K
