accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription
0001083301-26-000109,2026-05-26,2026-05-22,2026-05-26T12:06:07.000Z,34,8-K,001-41163,261015997,"8.01,9.01",XBRL,165251,1,1,0.0,wulf-20260522.htm,8-K
0001083301-26-000092,2026-05-08,2026-03-31,2026-05-08T20:04:09.000Z,34,10-Q,001-41163,26958181,,XBRL,11940859,1,1,1.0,wulf-20260331.htm,10-Q
0001083301-26-000083,2026-05-08,2026-05-08,2026-05-08T11:04:35.000Z,34,8-K,001-41163,26956009,"2.02,7.01,9.01",XBRL,3900418,1,1,0.0,wulf-20260508.htm,8-K
0001083301-26-000077,2026-04-28,2025-12-31,2026-04-28T20:30:05.000Z,34,DEF 14A,001-41163,26908352,,XBRL,2193003,1,1,0.0,wulf-20260428.htm,DEF 14A
0001104659-26-044387,2026-04-16,2026-04-14,2026-04-16T20:15:11.000Z,34,8-K,001-41163,26867748,"1.01,8.01,9.01",XBRL,489899,1,1,0.0,tm2611661d9_8k.htm,FORM 8-K
0001104659-26-044031,2026-04-16,,2026-04-16T11:25:03.000Z,33,424B5,333-295042,26865677,,424B5,950396,1,1,0.0,tm2611661-8_424b5.htm,424B5
0001104659-26-043402,2026-04-15,2026-04-14,2026-04-15T01:44:55.000Z,34,8-K,001-41163,26862377,"7.01,9.01",XBRL,212846,1,1,0.0,tm2611661d5_8k.htm,FORM 8-K
0001104659-26-043376,2026-04-15,,2026-04-15T00:12:20.000Z,33,424B5,333-295042,26862229,,424B5,781898,0,0,0.0,tm2611661-6_424b5.htm,424B5
0001104659-26-043279,2026-04-14,2026-04-14,2026-04-14T21:10:51.000Z,34,8-K,001-41163,26861592,"2.02,7.01,8.01,9.01",XBRL,239265,1,1,0.0,tm2611661d4_8k.htm,FORM 8-K
0001104659-26-043250,2026-04-14,,2026-04-14T21:00:00.000Z,33,424B5,333-295042,26861486,,424B5,781929,0,0,0.0,tm2611661-3_424b5.htm,424B5
0000950142-26-000720,2026-03-16,2026-03-13,2026-03-16T12:00:24.000Z,34,8-K,001-41163,26754515,"1.01,2.03,7.01,9.01",XBRL,267021,1,1,,eh260751501_8k.htm,FORM 8-K
0001083301-26-000031,2026-02-27,2025-12-31,2026-02-27T18:54:10.000Z,34,10-K,001-41163,26697143,,XBRL,24209157,1,1,,wulf-20251231.htm,10-K
0001083301-26-000026,2026-02-26,2026-02-26,2026-02-26T21:07:10.000Z,34,8-K,001-41163,26687886,"2.02,7.01,9.01",XBRL,4400446,1,1,,wulf-20260226.htm,8-K
0001083301-26-000023,2026-02-02,2026-02-02,2026-02-02T21:10:56.000Z,34,8-K,001-41163,26587953,"8.01,9.01",XBRL,1326460,1,1,,wulf-20260202.htm,8-K
0001104659-25-124839,2025-12-29,2025-12-29,2025-12-29T21:05:45.000Z,34,8-K,001-41163,251609166,"1.01,2.03,9.01",XBRL,1491999,1,1,,tm2534384d1_8k.htm,FORM 8-K
0001104659-25-122616,2025-12-18,2025-12-18,2025-12-18T22:24:05.000Z,34,8-K,001-41163,251584077,8.01,XBRL,188425,1,1,,tm2533501d2_8k.htm,FORM 8-K
0001104659-25-122387,2025-12-18,2025-12-18,2025-12-18T15:48:22.000Z,34,8-K,001-41163,251581749,"7.01,9.01",XBRL,3753924,1,1,,tm2533871d1_8k.htm,FORM 8-K
0001104659-25-122293,2025-12-18,2025-12-18,2025-12-18T12:28:56.000Z,34,8-K,001-41163,251581272,"7.01,8.01,9.01",XBRL,3752831,1,1,,tm2533501d1_8k.htm,FORM 8-K
0001083301-25-000107,2025-11-25,2025-11-25,2025-11-25T12:06:17.000Z,34,8-K,001-41163,251515031,"3.03,8.01",XBRL,906188,1,1,,wulf-20251125.htm,8-K
0001083301-25-000099,2025-11-10,2025-09-30,2025-11-10T22:11:47.000Z,34,10-Q,001-41163,251467347,,XBRL,10834774,1,1,,wulf-20250930.htm,10-Q
0001083301-25-000096,2025-11-10,2025-11-10,2025-11-10T21:12:19.000Z,34,8-K,001-41163,251466321,"2.02,7.01,9.01",XBRL,4093969,1,1,,wulf-20251110.htm,8-K
0001104659-25-104928,2025-10-31,2025-10-31,2025-10-31T20:11:04.000Z,34,8-K,001-41163,251440645,"1.01,2.03,3.02,8.01,9.01",XBRL,1058451,1,1,,tm2529894d1_8k.htm,FORM 8-K
0001104659-25-103923,2025-10-30,2025-10-29,2025-10-30T01:55:32.000Z,34,8-K,001-41163,251431965,"8.01,9.01",XBRL,214341,1,1,,tm2529509d3_8k.htm,FORM 8-K
0001104659-25-103439,2025-10-29,2025-10-29,2025-10-29T11:07:09.000Z,34,8-K,001-41163,251426798,"8.01,9.01",XBRL,207858,1,1,,tm2529509d2_8k.htm,FORM 8-K
0001104659-25-102858,2025-10-28,2025-10-28,2025-10-28T12:08:24.000Z,34,8-K,001-41163,251421511,"1.01,2.02,7.01,9.01",XBRL,1894357,1,1,,tm2529509d1_8k.htm,FORM 8-K
0001104659-25-101866,2025-10-23,2025-10-23,2025-10-23T20:54:55.000Z,34,8-K,001-41163,251413673,"1.01,2.03,9.01",XBRL,1493865,1,1,,tm2529300d1_8k.htm,FORM 8-K
0001104659-25-100142,2025-10-16,2025-10-16,2025-10-16T21:15:54.000Z,34,8-K,001-41163,251398372,"8.01,9.01",XBRL,207203,1,1,,tm2528904d1_8k.htm,FORM 8-K
0001104659-25-099345,2025-10-14,2025-10-14,2025-10-14T20:58:34.000Z,34,8-K,001-41163,251392468,"7.01,9.01",XBRL,239169,1,1,,tm2528711d1_8k.htm,FORM 8-K
0001104659-25-099020,2025-10-14,2025-10-14,2025-10-14T11:59:15.000Z,34,8-K,001-41163,251389701,"8.01,9.01",XBRL,207452,1,1,,tm2528632d1_8k.htm,FORM 8-K
0001083301-25-000087,2025-10-06,2025-10-06,2025-10-06T12:00:28.000Z,34,8-K,001-41163,251375652,"7.01,9.01",XBRL,890581,1,1,,wulf-20251006.htm,8-K
0001083301-25-000079,2025-10-01,2025-09-30,2025-10-01T21:28:06.000Z,34,8-K,001-41163,251365685,5.07,XBRL,138887,1,1,,wulf-20250930.htm,8-K
0001083301-25-000071,2025-09-08,2025-09-08,2025-09-08T20:20:56.000Z,34,DEF 14A,001-41163,251300249,,DEF 14A,689546,0,0,,def14a-definitiveproxyxspe.htm,DEF 14A
0001083301-25-000067,2025-08-28,2025-08-28,2025-08-28T21:17:25.000Z,34,PRE 14A,001-41163,251274758,,PRE 14A,588364,0,0,,pre14a-preliminaryproxyxsp.htm,PRE 14A
0001104659-25-081886,2025-08-22,2025-08-22,2025-08-22T20:12:41.000Z,34,8-K,001-41163,251246386,"2.03,3.02,9.01",XBRL,212427,1,1,,tm2523651d6_8k.htm,FORM 8-K
0001104659-25-080911,2025-08-20,2025-08-20,2025-08-20T20:06:42.000Z,34,8-K,001-41163,251236847,"1.01,2.03,3.02,9.01",XBRL,1296093,1,1,,tm2523651d5_8k.htm,FORM 8-K
0001104659-25-079960,2025-08-19,2025-08-18,2025-08-19T01:42:45.000Z,34,8-K,001-41163,251229511,"8.01,9.01",XBRL,221927,1,1,,tm2523651d4_8k.htm,FORM 8-K
0001104659-25-079466,2025-08-18,2025-08-18,2025-08-18T11:17:20.000Z,34,8-K,001-41163,251226271,"8.01,9.01",XBRL,570882,1,1,,tm2523651d1_8k.htm,FORM 8-K
0001104659-25-079463,2025-08-18,2025-08-17,2025-08-18T11:11:22.000Z,34,8-K,001-41163,251226266,"1.01,7.01,9.01",XBRL,219579,1,1,,tm2523651d3_8k.htm,FORM 8-K
0001104659-25-078086,2025-08-14,2025-08-12,2025-08-14T11:19:30.000Z,34,8-K,001-41163,251214302,"1.01,2.02,7.01,8.01,9.01",XBRL,5898045,1,1,,tm2523008d1_8k.htm,FORM 8-K
0001104659-25-078084,2025-08-14,2025-08-13,2025-08-14T11:18:03.000Z,34,8-K,001-41163,251214295,"1.01,7.01,8.01,9.01",XBRL,2446030,1,1,,tm2523008d2_8k.htm,FORM 8-K
0001083301-25-000061,2025-08-08,2025-06-30,2025-08-08T20:14:09.000Z,34,10-Q,001-41163,251198574,,XBRL,8311675,1,1,,wulf-20250630.htm,10-Q
0001083301-25-000058,2025-08-08,2025-08-08,2025-08-08T11:02:52.000Z,34,8-K,001-41163,251196168,"2.02,7.01,9.01",XBRL,375210,1,1,,wulf-20250808.htm,8-K
