ticker,company,sector,notes
CXAI,CXApp Inc.,Technology,Example research candidate only
BBAI,BigBear.ai Holdings Inc.,Technology,Example research candidate only
PLUG,Plug Power Inc.,Industrials,Example research candidate only
BYND,Beyond Meat Inc.,Consumer Defensive,Example research candidate only
NOTV,Inotiv Inc.,Healthcare,Example research candidate only
BCDA,BioCardia Inc.,Healthcare,Example research candidate only
VVOS,Vivos Therapeutics Inc.,Healthcare,Example research candidate only
DEVS,DevvStream Corp.,Industrials,Example research candidate only
SMTK,SmartKem Inc.,Technology,Example research candidate only
LASE,Laser Photonics Corp.,Industrials,Example research candidate only
SOUN,SoundHound AI Inc.,Technology,Example research candidate only
OPEN,Opendoor Technologies Inc.,Real Estate,Example research candidate only
MVIS,MicroVision Inc.,Technology,Example research candidate only
KULR,KULR Technology Group Inc.,Technology,Example research candidate only
LAES,SEALSQ Corp.,Technology,Example research candidate only
WULF,TeraWulf Inc.,Financial Services,Example research candidate only
BITF,Bitfarms Ltd.,Financial Services,Example research candidate only
HIVE,HIVE Digital Technologies Ltd.,Financial Services,Example research candidate only
CAN,Canaan Inc.,Technology,Example research candidate only
RIOT,Riot Platforms Inc.,Financial Services,Example research candidate only
